"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"Disk, NoError, EmulTrap, NoKbd";"";"";"whdload";"0";"";"Doodlebug";"912800";"D\Doodlebug\Doodlebug.slave";"";"D\Doodlebug";"524288";"Doodlebug";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Doofus by Prestige Software (c) 1993 - 1 disk.";"1993 Prestige";"whdload";"0";"Doofus";"Doofus";"912597";"D\Doofus\Doofus.Slave";"0";"D\Doofus";"524288";"Doofus";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Double Dragon ? 1988 Ocean Software.";"1988 Ocean Software";"whdload";"0";"Double Dragon";"DoubleDragon";"917778";"D\DoubleDragon\DoubleDragon.Slave";"4096";"D\DoubleDragon";"524288";"DoubleDragon";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Double Dragon II - The Revenge ? 1989 Virgin Games Ltd.";"1989 Virgin Games Ltd";"whdload";"0";"Double Dragon II";"DoubleDragon2";"972362";"D\DoubleDragon2\DoubleDragon2.Slave";"0";"D\DoubleDragon2";"524288";"DoubleDragon2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Double Dragon 3 ? 1991 The Sales Curve.";"1991 The Sales Curve";"whdload";"0";"Double Dragon 3";"DoubleDragon3";"1319716";"D\DoubleDragon3\DoubleDragon3.slave";"0";"D\DoubleDragon3";"524288";"DoubleDragon3";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Double Dribble ? 1990 Konami.";"1990 Konami";"whdload";"0";"Double Dribble";"DoubleDribble";"607983";"D\DoubleDribble\DoubleDribble.slave";"0";"D\DoubleDribble";"524288";"DoubleDribble";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Dragon Breed ? 1989 Irem/Activision.";"1989 IREM/Activision";"whdload";"0";"Dragon Breed";"DragonBreed";"1001812";"D\DragonBreed\DragonBreed.Slave";"0";"D\DragonBreed";"524288";"DragonBreed";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"";"1990 Thalion";"whdload";"0";"Dragon Flight";"Dragonflight";"1803818";"D\Dragonflight\Dragonflight.Slave";"4096";"D\Dragonflight";"524288";"Dragonflight";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Dragonscape by Free Spirit/Wicked Software (c) 1988-89 - 1 disk.";"1989 Free Spirit";"whdload";"0";"Dragonscape";"DragonScape";"574640";"D\DragonScape\DragonScape.slave";"0";"D\DragonScape";"524288";"DragonScape";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Dragon's Kingdom (Demo) ? 1991 GENIAS/GOLDEN TEAM.";"1991 GOLDEN TEAM/GENIAS ";"whdload";"0";"Dragon";"DragonsKingdomDemo";"918327";"D\DragonsKingdomDemo\DragonsKingdomDemo.Slave";"0";"D\DragonsKingdomDemo";"524288";"DragonsKingdom";"OCS/ECS";"";"";"Demo";"";""
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Dragon'S Lair 2 (Time Warp) ? 1990 Ready Soft (6 disks).";"1990 Ready Soft";"whdload";"0";"Dragon";"DragonsLair2";"6165057";"D\DragonsLair2\DragonsLair2.Slave";"0";"D\DragonsLair2";"532480";"DragonsLair2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Dragon'S Lair 3 (Curse of Mordread) ? 1992 Ready Soft (7 disks).";"1992 Ready Soft";"whdload";"0";"Dragon";"DragonsLair3";"7189595";"D\DragonsLair3\DragonsLair3.Slave";"0";"D\DragonsLair3";"532480";"DragonsLair3";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Dragon Spirit ? 1989 Domark.";"1989 Domark";"whdload";"0";"Dragon Spirit";"DragonSpirit";"680283";"D\DragonSpirit\DragonSpirit.Slave";"0";"D\DragonSpirit";"524288";"DragonSpirit";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Dragon Tiles ?1992 S.J.Smith";"1992 S.J.Smith";"whdload";"0";"Dragon Tiles ECS";"DragonTiles";"311246";"D\DragonTiles\DragonTiles.Slave";"12288";"D\DragonTiles";"294912";"DragonTiles";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Drivin' Force ? 1989 Digital Magic Software";"1989 Digital Magic Software";"whdload";"0";"Drivin";"DrivinForce";"984444";"D\DrivinForce\DrivinForce.Slave";"4096";"D\DrivinForce";"524288";"DrivinForce";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Dr. Mario by Trash Danmark in 1992.";"";"whdload";"0";"";"DrMario";"111706";"D\DrMario\DrMario.slave";"";"D\DrMario";"524288";"DrMario";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Duck (c) 1991 Gremlin. This game was hidden in";"1991 Gremlin";"whdload";"0";"Duck";"Dux";"18193";"D\Dux\Dux.Slave";"0";"D\Dux";"65536";"Dux";"OCS/ECS";"";"";"";"";""
"Disk, NoError, ClearMem";"Dyna Blaster ? 1991 Hudson Soft (1 disk)";"1991 Hudson Soft";"whdload";"0";"Dyna Blaster";"DynaBlaster";"931568";"D\DynaBlaster\DynaBlaster.Slave";"4096";"D\DynaBlaster";"524288";"DynaBlaster";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Dynamite Dux (c) 1989 Activision/Sega.";"1989 Activision/Sega";"whdload";"0";"Dynamite Dux";"DynamiteDux";"921583";"D\DynamiteDux\DynamiteDux.Slave";"0";"D\DynamiteDux";"524288";"DynamiteDux";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Dynasty Wars by US Gold/Tiertex (c) 1990 - 1 disk.";"1990 US Gold";"whdload";"0";"Dynasty Wars";"DynastyWars";"788767";"D\DynastyWars\DynastyWars.slave";"0";"D\DynastyWars";"524288";"DynastyWars";"OCS/ECS";"";"";"";"";""
"NoError, NoKbd, ClearMem";"Dyter-07 ? 1989/90 reLINE";"1990 reLINE";"whdload";"0";"Dyter-07";"Dyter07";"1336789";"D\Dyter07\Dyter07.slave";"0";"D\Dyter07";"524288";"Dyter07";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Eagle's Rider by Microids (c) 1991";"1991 Microids";"whdload";"0";"Eagle";"EaglesRider";"1242397";"E\EaglesRider\EaglesRider.slave";"0";"E\EaglesRider";"524288";"EaglesRider";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Eco (c) 1987 Denton Designs/Ocean - 1 disk.";"1987 Denton Designs/Ocean";"whdload";"0";"Eco";"Eco";"284032";"E\Eco\Eco.Slave";"4096";"E\Eco";"524288";"Eco";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"EddTheDuck";"920036";"E\EddTheDuck\EddTheDuck.Slave";"";"E\EddTheDuck";"524288";"EddTheDuck";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Edd The Duck 2 by Zeppelin (c) 1992 - 1 disk.";"1992 Zeppelin";"whdload";"0";"Edd The Duck 2";"EddTheDuck2";"763840";"E\EddTheDuck2\EddTheDuck2.Slave";"0";"E\EddTheDuck2";"524288";"EddTheDuck2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Electronic Pool ? 1987 Microdeal.";"1987 Microdeal";"whdload";"0";"Electronic Pool";"ElectronicPool";"208714";"E\ElectronicPool\ElectronicPool.slave";"0";"E\ElectronicPool";"524288";"ElectronicPool";"OCS/ECS";"";"";"";"";""
"NoError";"Elf (c) 1988 Microvalue/Pumpkinsoft - 1 disk.";"1988 Microvalue/Pumpkinsoft";"whdload";"0";"Elf";"ElfMicroValue";"426567";"E\ElfMicroValue\ElfMicroValue.Slave";"0";"E\ElfMicroValue";"524288";"ElfMicroValue";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Elf ? 1991 Ocean";"1991 Ocean";"whdload";"0";"Elf";"ElfOcean";"1855695";"E\ElfOcean\ElfOcean.slave";"0";"E\ElfOcean";"524288";"ElfOcean";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Eliminator ? 1988 Hewson/Linel.";"1988 HEWSON";"whdload";"0";"Eliminator";"Eliminator";"1013388";"E\Eliminator\Eliminator.Slave";"8192";"E\Eliminator";"524288";"Eliminator";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Elite ? 1989 Mr Micro";"1989 Mr Micro";"whdload";"0";"Elite v2.0";"Elite";"1085549";"E\Elite\Elite.Slave";"0";"E\Elite";"524288";"Elite";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Emlyn Hughes International Soccer by Audiogenic (c) 1989 - 1 disk.";"1989 Audiogenic";"whdload";"0";"Emlyn Hughes International Soccer";"EmlynHughesIntlSoccer";"439267";"E\EmlynHughesIntlSoccer\EmlynHughesIntlSoccer.slave";"0";"E\EmlynHughesIntlSoccer";"524288";"EmlynHughesIntlSoccer";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero";"E-Motion (c) 1990 Assembly Line/US Gold - 1 disk.";"1990 Assembly Line/US Gold";"whdload";"0";"E-Motion";"EMotion";"373539";"E\EMotion\EMotion.Slave";"0";"E\EMotion";"524288";"EMotion";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Empire Strikes Back (c) 1989 Vektor Grafix/Domark - 1";"1989 Vektor Grafix/Domark";"whdload";"0";"Empire Strikes Back";"EmpireStrikesBack";"456541";"E\EmpireStrikesBack\EmpireStrikesBack.Slave";"0";"E\EmpireStrikesBack";"524288";"EmpireStrikesBack";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoKbd";"Enchanted Land ? 1990 Thalion";"1990 Thalion";"whdload";"0";"Enchanted Land";"EnchantedLand";"1008949";"E\EnchantedLand\EnchantedLand.Slave";"0";"E\EnchantedLand";"524288";"EnchantedLand";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, EmulDivZero";"Encounter (c) 1991 Novagen.";"1991 Novagen";"whdload";"0";"Encounter";"Encounter";"484276";"E\Encounter\Encounter.slave";"0";"E\Encounter";"524288";"Encounter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"England Championship Special (c) 1991 Grandslam -";"1991 Grandslam";"whdload";"0";"England Championship Special";"EnglandChampSpecial";"517441";"E\EnglandChampSpecial\EnglandChampSpecial.Slave";"4096";"E\EnglandChampSpecial";"524288";"EnglandChampSpecial";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Entity by Loriciel (c) 1992 - 4 disks.";"1992 Loriciel";"whdload";"0";"Entity - intro";"Entity";"3118051";"E\Entity\Intro.slave";"0";"E\Entity";"524288";"Entity";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Entity by Loriciel (c) 1992 - 4 disks.";"1992 Loriciel";"whdload";"0";"Entity";"Entity";"3118051";"E\Entity\Entity.slave";"0";"E\Entity";"524288";"Entity";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Erik (c) 1992 Atlantis - 1 disk.";"1992 Atlantis";"whdload";"0";"Erik";"Erik";"421206";"E\Erik\Erik.Slave";"4096";"E\Erik";"524288";"Erik";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Escape from Colditz by Digital Magic Software (c) 1990 - 1 disk.";"1990 Digital Magic Software";"whdload";"0";"Escape from Colditz";"EscapeFromColditz";"893627";"E\EscapeFromColditz\EscapeFromColditz.Slave";"0";"E\EscapeFromColditz";"548864";"EscapeFromColditz";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Escape from the Planet of the Robot Monsters ? 1990 Tengen.";"1990 Tengen";"whdload";"0";"Escape from the Planet of the Robot Monsters";"EscapeFTPOTRobotMonsters";"921009";"E\EscapeFTPOTRobotMonsters\EscapeFTPOTRobotMonsters.slave";"0";"E\EscapeFTPOTRobotMonsters";"524288";"EscapeFTPOTRobotMonsters";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Eskimo Games (c) 1989 Maitai/Magic Bytes - 1 disk.";"1989 Maitai/Magic Bytes";"whdload";"0";"Eskimo Games";"EskimoGames";"923421";"E\EskimoGames\EskimoGames.Slave";"4096";"E\EskimoGames";"524288";"EskimoGames";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"E.T.'s Rugby League (c) 1992 Audiogenic - 1 disk.";"1992 Audiogenic";"whdload";"0";"E.T.";"ETsRugbyLeague";"1367024";"E\ETsRugbyLeague\ETsRugbyLeague.Slave";"0";"E\ETsRugbyLeague";"524288";"ETsRugbyLeague";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"European Football Champ (c) 1992 Domark - 1 disk.";"1992 Domark";"whdload";"0";"European Football Champ";"EuropeanFootballChamp";"758158";"E\EuropeanFootballChamp\EuropeanFootballChamp.Slave";"4096";"E\EuropeanFootballChamp";"524288";"EuropeanFootballChamp";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Executioner (c) 1991 Hawk - 2 disks.";"1991 Hawk";"whdload";"0";"Executioner";"Executioner";"1567061";"E\Executioner\Executioner.Slave";"4096";"E\Executioner";"524288";"Executioner";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Exile by Audiogenic (c) 1991 - 1 disk.";"1991 Audiogenic";"whdload";"0";"--> Exile <--";"Exile";"784045";"E\Exile\Exile.Slave";"0";"E\Exile";"532480";"Exile";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"Exolon ? 1989 Hewson.";"1989 Hewson";"whdload";"0";"Exolon";"Exolon";"914914";"E\Exolon\Exolon.Slave";"0";"E\Exolon";"524288";"Exolon";"OCS/ECS";"";"";"";"";""
"NoError, NoKbd";"Extase ? 1990 Cryo/Virgin Losirs.";"1990 Cryo/Virgin Loisirs ";"whdload";"0";"Extase";"Extase";"809623";"E\Extase\Extase.Slave";"0";"E\Extase";"524288";"Extase";"OCS/ECS";"";"";"";"";""
"NoError";"Exterminator by Audiogenic/Assembly Line (c) 1990 - 1 disk.";"";"whdload";"0";"";"Exterminator";"910467";"E\Exterminator\Exterminator.slave";"";"E\Exterminator";"524288";"Exterminator";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Eye ?1988 Endurance Games";"1988 Endurance Games";"whdload";"0";"Eye";"Eye";"455530";"E\Eye\Eye.Slave";"4096";"E\Eye";"524288";"Eye";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"EyeOfHorus";"588733";"E\EyeOfHorus\EyeOfHorus.slave";"";"E\EyeOfHorus";"524288";"EyeOfHorus";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"F1 Racing (c) 1993 Domark (1 disk version).";"";"whdload";"0";"";"F1";"958647";"F\F1\F1.slave";"";"F\F1";"524288";"F1";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"";"1989 Digital Integration";"whdload";"0";"F-16 Combat Pilot";"F16CombatPilot";"1829741";"F\F16CombatPilot\F16CombatPilot.slave";"0";"F\F16CombatPilot";"524288";"F16CombatPilot";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"";"1988 Microprose";"whdload";"0";"F-19 Stealth Fighter";"F19StealthFighter";"1689082";"F\F19StealthFighter\F19StealthFighter.Slave";"0";"F\F19StealthFighter";"524288";"F19StealthFighter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"F1 Tornado by Zeppelin/Quex Development (c) 1992 - 1 disk.";"1992 Zeppelin";"whdload";"0";"F1 Tornado";"F1Tornado";"308729";"F\F1Tornado\F1Tornado.Slave";"0";"F\F1Tornado";"524288";"F1Tornado";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoDivZero";"";"1989 Ocean Software Ltd.";"whdload";"0";"F-29 Retaliator";"F29Retaliator";"1828177";"F\F29Retaliator\F29Retaliator.Slave";"0";"F\F29Retaliator";"524288";"F29Retaliator";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Crazy Cars 2/F40 Pursuit Simulator ? 1989 Titus.";"1989 Titus";"whdload";"0";"Crazy Cars 2/F40 Pursuit Simulator";"F40PursuitSimulator";"466479";"F\F40PursuitSimulator\F40PursuitSimulator.Slave";"0";"F\F40PursuitSimulator";"524288";"F40PursuitSimulator";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Fallen Angel ? 1989 Emerald Software Ltd.";"1989 Emerald ";"whdload";"0";"Fallen Angel";"FallenAngel";"761942";"F\FallenAngel\FallenAngel.slave";"0";"F\FallenAngel";"524288";"FallenAngel";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Fantasy World Dizzy by Code Masters (c) 1991 - 1 disk.";"1991 Code Masters";"whdload";"0";"Fantasy World Dizzy";"FantasyWorldDizzy";"914644";"F\FantasyWorldDizzy\FantasyWorldDizzy.Slave";"0";"F\FantasyWorldDizzy";"524288";"FantasyWorldDizzy";"OCS/ECS";"";"";"";"";""
"ClearMem";"";"1990 Code Masters";"whdload";"0";"Fast Food";"FastFood";"326976";"F\FastFood\FastFood.Slave";"0";"F\FastFood";"524288";"FastFood";"OCS/ECS";"";"";"";"";""
"ClearMem";"";"1990 Code Masters";"whdload";"0";"Fast Food";"FastFoodDizzyCollection";"256523";"F\FastFoodDizzyCollection\FastFoodDizzyCollection.Slave";"0";"F\FastFoodDizzyCollection";"524288";"FastFoodDizzyCollection";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Fast Lane ? 1989 Artronic.";"1989 Artronic";"whdload";"0";"Fast Lane";"FastLane";"710438";"F\FastLane\FastLane.Slave";"0";"F\FastLane";"524288";"FastLane";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoDivZero";"Federation Of Free Traders ? 1990 Gremlin";"1990 Gremlin";"whdload";"0";"Federation Of Free Traders";"FederationOfFreeTraders";"963121";"F\FederationOfFreeTraders\FederationOfFreeTraders.slave";"0";"F\FederationOfFreeTraders";"524288";"FederationOfFreeTraders";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Fernandez Must Die ? 1988 Mirrorsoft/Imageworks";"1988 Mirrorsoft/Imageworks";"whdload";"0";"Fernandez Must Die";"FernandezMustDie";"346834";"F\FernandezMustDie\FernandezMustDie.Slave";"0";"F\FernandezMustDie";"524288";"FernandezMustDie";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Fighting Soccer ? 1989 Activision.";"Activision";"whdload";"0";"Fighting Soccer";"FightingSoccerNTSC";"932812";"F\FightingSoccerNTSC\FightingSoccerNTSC.slave";"0";"F\FightingSoccerNTSC";"524288";"FightingSoccer";"OCS/ECS";"";"";"";"NTSC";""
"Disk, NoError, EmulTrap";"Final Blow ? 1991 Sales Curve.";"";"whdload";"0";"";"FinalBlow";"916327";"F\FinalBlow\FinalBlow.slave";"";"F\FinalBlow";"528384";"FinalBlow";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Final Fight ? 1991 Capcom";"1991 Capcom";"whdload";"0";"Final Fight";"FinalFight512k";"1114952";"F\FinalFight512k\FinalFight512k.slave";"0";"F\FinalFight512k";"524288";"FinalFight";"OCS/ECS";"";"512k";"";"";""
"NoError, EmulTrap";"Fire and Brimstone by Microprose (c) 1990 - 1 disk.";"1990 Microprose";"whdload";"0";"Fire & Brimstone";"Fire&Brimstone";"829980";"F\Fire&Brimstone\Fire&Brimstone.slave";"0";"F\Fire&Brimstone";"524288";"Fire&Brimstone";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, EmulTrapV, ClearMem";"Fire And Ice ? 1990-1994 Graftgold";"1991 Graftgold";"whdload";"0";"Fire And Ice";"Fire&Ice";"1843444";"F\Fire&Ice\Fire&Ice.slave";"0";"F\Fire&Ice";"524288";"Fire&Ice";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Fire & Ice - XMAS ? 1990-92 Graftgold - 1 disk";"1990-92 Graftgold Ltd.";"whdload";"0";"Fire & Ice - Christmas Edition";"Fire&IceXmasDemo";"213031";"F\Fire&IceXmasDemo\Fire&IceXmasDemo.Slave";"0";"F\Fire&IceXmasDemo";"524288";"Fire&IceXmas";"OCS/ECS";"";"";"Demo";"";""
"NoError, EmulTrap, ClearMem";"Fire and Brimstone by Microprose (c) 1990 - 1 disk.";"1990 Microprose";"whdload";"0";"Fire & Brimstone";"FireAndBrimstone";"846013";"F\FireAndBrimstone\FireAndBrimstone.Slave";"4096";"F\FireAndBrimstone";"524288";"FireAndBrimstone";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Fireblaster ? 1986 Paradox Software Ltd";"1986 Paradox Software";"whdload";"0";"Fireblaster";"Fireblaster";"244719";"F\Fireblaster\Fireblaster.Slave";"4096";"F\Fireblaster";"524288";"Fireblaster";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"FireHawk ? 1993 Codemasters";"1993 Codemasters";"whdload";"0";"-+ F I R E H A W K +-";"Firehawk";"490207";"F\Firehawk\FireHawk.Slave";"0";"F\Firehawk";"524288";"Firehawk";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"First Contact ? 1990 Rainbird.";"1990 Rainbird";"whdload";"0";"First Contact";"FirstContact";"917504";"F\FirstContact\FirstContact.Slave";"0";"F\FirstContact";"524288";"FirstContact";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Fist Fighter by Zeppelin Games (c) 1993 - 1 disk.";"1993 Zeppelin";"whdload";"0";"Fist Fighter";"FistFighter";"915160";"F\FistFighter\FistFighter.slave";"0";"F\FistFighter";"524288";"FistFighter";"OCS/ECS";"";"";"";"";""
"0";"Flaschbier or Flaschbier2 ? 1990 AlphaFlight.";"1990 Alpha Flight";"whdload";"0";"Flaschbier / Flaschbier2";"Flaschbier";"1053455";"F\Flaschbier\Flaschbier.Slave";"0";"F\Flaschbier";"524288";"Flaschbier";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Flimbo's Quest ? 1990 System 3.";"1990 System 3";"whdload";"0";"Flimbo";"FlimbosQuest";"921930";"F\FlimbosQuest\FlimbosQuest.slave";"0";"F\FlimbosQuest";"524288";"FlimbosQuest";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"The Flintstones by Grandslam/Teque (c) 1988 - 1 disk.";"1988 Grandslam";"whdload";"0";"The Flintstones";"Flintstones";"823585";"F\Flintstones\Flintstones.Slave";"0";"F\Flintstones";"524288";"Flintstones";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Flip-it & Magnose (c) 1989 Expanding Minds/";"";"whdload";"0";"";"Flipit&Magnose";"957259";"F\Flipit&Magnose\Flipit&Magnose.slave";"";"F\Flipit&Magnose";"528384";"Flipit&Magnose";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"Scorpion ? 1989 Digital Magic Software.";"1989 Digital Magic Software";"whdload";"0";"Scorpion";"FlyFighter";"986670";"F\FlyFighter\highs";"0";"F\FlyFighter";"524288";"FlyFighter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Scorpion ? 1989 Digital Magic Software.";"1989 Digital Magic Software ";"whdload";"0";"Scorpion / Fly Fighter";"FlyFighter";"986670";"F\FlyFighter\FlyFighter.Slave";"0";"F\FlyFighter";"524288";"FlyFighter";"OCS/ECS";"";"";"";"";""
"NoError";"Footballer Of The Year 2 by Gremlin (c) 1989 - 1 disk.";"1989 Gremlin";"whdload";"0";"Footballer Of The Year 2";"FootballerOfTheYear2";"489323";"F\FootballerOfTheYear2\FootballerOfTheYear2.slave";"0";"F\FootballerOfTheYear2";"524288";"FootballerOfTheYear2";"OCS/ECS";"";"";"";"";""
"EmulTrap, NoDivZero, NoKbd, ClearMem";"Forgotten World ? 1988 Arc Developments/Capcom.";"1988 Arc/Capcom";"whdload";"0";"Forgotten Worlds";"ForgottenWorlds";"1956915";"F\ForgottenWorlds\ForgottenWorlds.Slave";"0";"F\ForgottenWorlds";"524288";"ForgottenWorlds";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Foundation's Waste ?1988 Exocet Software";"1988 Exocet Software";"whdload";"0";"Foundation";"FoundationsWaste";"876857";"F\FoundationsWaste\FoundationsWaste.Slave";"4096";"F\FoundationsWaste";"524288";"FoundationsWaste";"OCS/ECS";"";"";"";"";""
"Disk";"";"";"whdload";"1024";"";"FourCrystalsOfTrazere";"1617623";"F\FourCrystalsOfTrazere\getlegendsavedisk.slave";"";"F\FourCrystalsOfTrazere";"524288";"FourCrystalsOfTrazere";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"";"1992 Mindscape";"whdload";"0";"Legend / The four crystals of Trazere1992 Mindscape";"FourCrystalsOfTrazere";"1617623";"F\FourCrystalsOfTrazere\FourCrystalsOfTrazere.Slave";"0";"F\FourCrystalsOfTrazere";"524288";"FourCrystalsOfTrazere";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Frankenstein by Zeppelin (c) 1992 - 1 disk.";"1992 Zeppelin";"whdload";"0";"Frankenstein";"Frankenstein";"833476";"F\Frankenstein\Frankenstein.slave";"0";"F\Frankenstein";"524288";"Frankenstein";"OCS/ECS";"";"";"";"";""
"NoError";"Freak Out by Zeret (c) 1993, from Amigo Coverdisk.";"1993 Zeret";"whdload";"0";"Freak Out";"FreakOut";"408989";"F\FreakOut\FreakOut.slave";"0";"F\FreakOut";"524288";"FreakOut";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Frenetic (c) 1991 Core Design - 2 disks.";"1991 Core Design";"whdload";"0";"Frenetic";"Frenetic";"1819594";"F\Frenetic\Frenetic.Slave";"0";"F\Frenetic";"524288";"Frenetic";"OCS/ECS";"";"";"";"";""
"EmulTrap, EmulTrapV";"";"1988 Mikro-Gen";"whdload";"0";"Frost Byte";"FrostByte";"276772";"F\FrostByte\FrostByte.Slave";"0";"F\FrostByte";"524288";"FrostByte";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoKbd, ClearMem";"Full Contact ? 1991 Team 17.";"1990 Team 17";"whdload";"0";"Full Contact";"FullContact";"1818084";"F\FullContact\FullContact.slave";"0";"F\FullContact";"524288";"FullContact";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Future Shock by Sphinx (c) 1991 - 1 disk.";"1991 Sphinx";"whdload";"0";"Future Shock";"FutureShock";"911291";"F\FutureShock\FutureShock.slave";"4096";"F\FutureShock";"524288";"FutureShock";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"Future Tank ? 1988 Time Warp.";"";"whdload";"0";"";"FutureTank";"914861";"F\FutureTank\FutureTank.slave";"";"F\FutureTank";"524288";"FutureTank";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Fuzzball (c) 1991 System 3 - 2 disks.";"1991 System 3";"whdload";"0";"Fuzzball Intro";"Fuzzball";"1857355";"F\Fuzzball\Intro.Slave";"4096";"F\Fuzzball";"524288";"Fuzzball";"OCS/ECS";"";"";"";"";""
