"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"BeyondJustice\BeyondJustice.Slave";"NoError, EmulTrap, ClearMem";"Beyond Justice ? 1991 Dexion.";"Beyond Justice";"1991 Dexion";"0";"B\BeyondJustice_v1.0_Dexion.lha";"BeyondJustice";"BeyondJustice";"0";"whdload";"524288";"455565";"BeyondJustice";"OCS/ECS";"";"";"";"";"";"beyond justice dexion";"Exact";"100";"Pouet";"";"";"Dexion";"b\beyond-justice-dexion";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008927.gif";"april 1991";"Beyond Justice";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8927";"beyond justice beyondjustice dexion beyondjusticedexion"
"BeyondTheFutureAGA\BeyondTheFutureAGA.Slave";"NoError, EmulTrap, ReqAGA";"Beyond The Future ? 1994 Union.";"Beyond The Future";"1994 Union";"1966080";"B\BeyondTheFuture_v1.0_Union_AGA.lha";"BeyondTheFutureAGA";"BeyondTheFutureAGA";"0";"whdload";"524288";"1867725";"BeyondTheFuture";"AGA";"";"";"";"";"";"beyond the future aga union";"Best";"2.801948";"Pouet";"amiga demo";"9th";"Union";"b\beyond-the-future-union";"demo";"The Party 1994";"http://content.pouet.net/files/screenshots/00010/00010464.jpg";"december 1994";"Beyond the future";"Amiga AGA";"http://www.pouet.net/prod.php?which=10464";"beyond the future beyondthefuture union beyondthefutureunion"
"BigBusiness\BigBusiness.Slave";"NoError, EmulTrap, ClearMem";"Big Business ? 1991 Defjam.";"Big Business";"1991 The Silents";"0";"B\BigBusiness_v1.0_DefJam.lha";"BigBusiness";"BigBusiness";"0";"whdload";"524288";"427646";"BigBusiness";"OCS/ECS";"";"";"";"";"";"big business defjam";"Exact";"100";"Pouet";"";"";"Defjam";"b\big-business-defjam";"demo";"";"http://content.pouet.net/files/screenshots/00018/00018234.jpg";"april 1991";"Big business";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=18234";"big business bigbusiness defjam bigbusinessdefjam"
"BIGDemo\BIGDemo.Slave";"NoError, ClearMem";"B.I.G. Demo ? 1988 The Exceptions/Mr.Styckx";"The B.I.G. Demo";"1988 The Exceptions";"4096";"B\BIGDemo_v1.0_TheExceptions&MrStyckx.lha";"BIGDemo";"BIGDemo";"0";"whdload";"618496";"607468";"BIG";"OCS/ECS";"";"";"Demo";"";"";"the big demo mr styckx";"Exact";"100";"Pouet";"";"";"Mr. Styckx";"t\the-big-demo-mr-styckx";"musicdisk";"";"http://content.pouet.net/files/screenshots/00050/00050346.png";"august 1997";"The B.I.G. Demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=50346";"the big demo thebigdemo mr styckx thebigdemomrstyckx"
"BigTimeSensualityAGA\BigTimeSensualityAGA.slave";"Disk, NoError, Req68020, ReqAGA";"Big Time Sensuality ? 1994 Axis.";"Big Time Sensuality";"1994 Axis";"0";"B\BigTimeSensuality_v1.4_Axis_AGA.lha";"BigTimeSensualityAGA";"BigTimeSensualityAGA";"0";"whdload";"2019328";"1814084";"BigTimeSensuality";"AGA";"";"";"";"";"";"big time sensuality aga axis";"Best";"3.514192";"Pouet";"";"";"Axis";"b\big-time-sensuality-axis";"demo";"";"http://content.pouet.net/files/screenshots/00003/00003449.jpg";"march 1994";"big time sensuality";"Amiga AGA";"http://www.pouet.net/prod.php?which=3449";"big time sensuality bigtimesensuality axis bigtimesensualityaxis"
"BlackEnergy\BlackEnergy.Slave";"NoError, EmulTrap, ClearMem";"Black Energy ? 1992 Hardline.";"Black Energy";"1992 Hardline";"0";"B\BlackEnergy_v1.0_Hardline.lha";"BlackEnergy";"BlackEnergy";"0";"whdload";"524288";"920585";"BlackEnergy";"OCS/ECS";"";"";"";"";"";"black energy hardline";"Exact";"100";"Pouet";"";"";"hardline";"b\black-energy-hardline";"musicdisk";"";"http://content.pouet.net/files/screenshots/00033/00033040.png";"may 1992";"Black Energy";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33040";"black energy blackenergy hardline blackenergyhardline"
"BlackNWhite\BlackNWhite.Slave";"Disk, NoError, EmulTrap";"Black and White ? 1991 Pentagon/Drifters - 1 disk";"Black & White";"1991 Pentagon/Drifters";"4096";"B\BlackNWhite_v1.2_Pentagon.lha";"BlackNWhite";"BlackNWhite";"0";"whdload";"524288";"915499";"BlackNWhite";"OCS/ECS";"";"";"";"";"";"black nwhite white pentagon drifters";"Best";"1.605391";"Pouet";"";"";"Drifters,Pentagon (Amiga)";"b\blackn-white-slide-drifters-pentagon-amiga_#2";"slideshow";"";"http://content.pouet.net/files/screenshots/00012/00012344.jpg";"august 1990";"Black'n White Slide";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12344";"blackn white slide blacknwhiteslide drifters pentagon amiga blacknwhiteslidedrifterspentagonamiga"
"Blasting\Blasting.Slave";"NoError, EmulTrap, ClearMem";"Blasting ? 1989 Gate.";"Blasting";"1989 Gate";"0";"B\Blasting_v1.0_Gate.lha";"Blasting";"Blasting";"0";"whdload";"524288";"249242";"Blasting";"OCS/ECS";"";"";"";"";"";"blasting gate";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Gate";;"Demo";"";;"89";"Blasting";;;"blasting blasting gate blastinggate"
"BlueHouse2\BlueHouse2.slave";"NoError, EmulTrap, ClearMem";"Blue House 2 ? 1991 Rebels.";"Blue House 2";"1991 Rebels";"0";"B\BlueHouse2_v1.01_Rebels.lha";"BlueHouse2";"BlueHouse2";"0";"whdload";"524288";"253723";"BlueHouse2";"OCS/ECS";"";"";"";"";"";"blue house 2 rebels";"Exact";"100";"Pouet";"none";"n/a";"Rebels";"b\blue-house-2-rebels";"demo";"The Party 1991";"http://content.pouet.net/files/screenshots/00002/00002726.png";"december 1991";"blue house 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=2726";"blue house 2 bluehouse2 rebels bluehouse2rebels"
"BluesHouse\BluesHouse.Slave";"NoError, EmulTrap, ClearMem";"Blues House ? 1991 The Silents.";"Blues House";"1991 The Silents";"0";"B\BluesHouse_v1.0_Silents.lha";"BluesHouse";"BluesHouse";"0";"whdload";"524288";"1823511";"BluesHouse";"OCS/ECS";"";"";"";"";"";"blues house the silents";"Exact";"100";"Pouet";"";"";"The Silents";"b\blues-house-the-silents";"musicdisk";"";"http://content.pouet.net/files/screenshots/00010/00010439.gif";"february 1991";"Blues House";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10439";"blues house blueshouse the silents blueshousethesilents"
"BombTheBassTuneshow2\BombTheBassTuneshow2.Slave";"NoError, EmulTrap, ClearMem";"Bomb the Bass - Tuneshow 2 ? 1989 Trash & The Top Boys.";"Bomb the Bass - Tuneshow 2";"1989 Trash & The Top Boys";"0";"B\BombTheBassTuneShow2_v1.0_Trash&TheTopBoys.lha";"BombTheBassTuneshow2";"BombTheBassTuneshow2";"0";"whdload";"524288";"907936";"BombTheBassTuneshow2";"OCS/ECS";"";"";"";"";"";"bomb the bass tuneshow 2 trash top boys";"Best";"3.967072";"Janeway Amiga Scene Demo Database";;;"The Top Boys";;"Musicdisk";"";;"5/89";"Bomb The Bass - Tuneshow 2";;;"bomb the bass tuneshow 2 bombthebasstuneshow2 the top boys bombthebasstuneshow2thetopboys"
"BookOfSongs\BookOfSongs.Slave";"NoError";"Book of Songs ? 1992 Complex.";"Book of Songs";"1992 Complex";"524288";"B\BookOfSongs_v1.0_Complex.lha";"BookOfSongs";"BookOfSongs";"0";"whdload";"524288";"1679672";"BookOfSongs";"OCS/ECS";"";"";"";"";"";"book of songs complex";"Exact";"100";"Pouet";"";"";"Complex";"b\book-of-songs-complex";"musicdisk";"";"http://content.pouet.net/files/screenshots/00003/00003837.jpg";"1992";"Book Of Songs";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3837";"book of songs bookofsongs complex bookofsongscomplex"
"BorisVallejoSlide\BorisVallejoSlide.Slave";"Disk, NoError, EmulTrap";"Boris Vallejo ? 1996 Apocalypse Bay - 1 disk";"Boris Vallejo slide";"1996 Apocalypse Bay";"434176";"B\BorisVallejoSlide_v1.0_ApocalypseBay.lha";"BorisVallejoSlide";"BorisVallejoSlide";"0";"whdload";"524288";"919074";"BorisVallejoSlide";"OCS/ECS";"";"";"";"";"";"boris vallejo apocalypse bay";"Exact";"100";"Demos Custom";;;"Apocalypse Bay";;"";"";;"1996";"Boris Vallejo";"ECS/OCS";;"boris vallejo borisvallejo apocalypse bay borisvallejoapocalypsebay"
"BoulderDemo\BoulderDemo.Slave";"NoError, EmulTrap, ClearMem";"Boulder Demo ? 1988 Tristar.";"Boulder Demo";"1988 Tristar";"0";"B\BoulderDemo_v1.0_Tristar.lha";"BoulderDemo";"BoulderDemo";"0";"whdload";"524288";"338243";"Boulder";"OCS/ECS";"";"";"Demo";"";"";"boulder demo tristar";"Exact";"100";"Pouet";"";"";"Tristar";"b\boulder-demo-tristar";"demo";"";"http://content.pouet.net/files/screenshots/00009/00009125.gif";"september 1988";"Boulder Demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9125";"boulder demo boulderdemo tristar boulderdemotristar"
"BoundlessVoid\BoundlessVoid.slave";"NoError, EmulTrap, ClearMem";"Boundless Void ? 1993 Nemol.";"Boundless Void";"1993 Nemol";"491520";"B\BoundlessVoid_v1.1_Nemol.lha";"BoundlessVoid";"BoundlessVoid";"0";"whdload";"524288";"919117";"BoundlessVoid";"OCS/ECS";"";"";"";"";"";"boundless void nemol";"Exact";"100";"Pouet";"amiga demo";"6th";"Nemol";"b\boundless-void-nemol";"demo";"The Computer Crossroad 1993";"http://content.pouet.net/files/screenshots/00009/00009256.gif";"may 1993";"Boundless Void";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9256";"boundless void boundlessvoid nemol boundlessvoidnemol"
"BreathOfTheMuseAGA\BreathOfTheMuseAGA.Slave";"NoError, EmulTrap, ClearMem";"The Breath of the Muse ? 1994 Chryseis & Poseidon.";"The Breath of the Muse";"1994 Chryseis & Poseidon";"524288";"B\BreathOfTheMuse_v1.0_Chryseis&Poseidon_AGA.lha";"BreathOfTheMuseAGA";"BreathOfTheMuseAGA";"0";"whdload";"2097152";"902319";"BreathOfTheMuse";"AGA";"";"";"";"";"";"breath of the muse aga chryseis poseidon";"Best";"4.092872";"Pouet";"amiga demo";"7th";"Chryseis,Poseidon";"t\the-breath-of-the-muse-chryseis-poseidon_#2";"demo";"Saturne 1994";"http://content.pouet.net/files/screenshots/00012/00012320.jpg";"april 1994";"The Breath Of The Muse";"Amiga AGA";"http://www.pouet.net/prod.php?which=12320";"the breath of the muse thebreathofthemuse chryseis poseidon thebreathofthemusechryseisposeidon"
"BreathtakerAGA\BreathtakerAGA.Slave";"NoError, Req68020, ReqAGA, ClearMem";"Breathtaker ? 1994 Virtual Dreams";"Breathtaker";"1994 Virtual Dreams";"3280896";"B\Breathtaker_v1.0_Fairlight&VirtualDreams_AGA.lha";"BreathtakerAGA";"BreathtakerAGA";"0";"whdload";"536576";"3849190";"Breathtaker";"AGA";"";"";"";"";"";"breathtaker aga virtual dreams";"Best";"3.089079";"Pouet";"amiga demo";"2nd";"Virtual Dreams,Fairlight";"b\breathtaker-virtual-dreams-fairlight_#2";"demo";"Assembly 1994";"http://content.pouet.net/files/screenshots/00002/00002568.jpg";"august 1994";"Breathtaker";"Amiga AGA";"http://www.pouet.net/prod.php?which=2568";"breathtaker breathtaker virtual dreams fairlight breathtakervirtualdreamsfairlight"
"BreedCD1\BreedCD1.Slave";"NoError, EmulTrap, ClearMem";"Music Disk 1 (Breed CD1) ? 1990 Nightbreed.";"Breed CD 1 (Music Disk 1)";"1990 Nightbreed";"0";"B\BreedCD1_v1.0_Nightbreed.lha";"BreedCD1";"BreedCD1";"0";"whdload";"524288";"805258";"BreedCD1";"OCS/ECS";"";"";"";"";"";"breed cd 1 music disk nightbreed";"Best";"3.320116";"Janeway Amiga Scene Demo Database";;;"Nightbreed";;"Musicdisk";"";;"";"Breed CD1";;;"breed cd 1 breedcd1 nightbreed breedcd1nightbreed"
"BrunosMusicBox2\BrunosMusicBox2.Slave";"NoError";"Bruno's MusicBox 2 ? 1990 Gate.";"Bruno";"1990 Gate";"0";"B\BrunosMusicBox2_v1.0_Gate.lha";"BrunosMusicBox2";"BrunosMusicBox2";"0";"whdload";"524288";"918196";"BrunosMusicBox2";"OCS/ECS";"";"";"";"";"";"brunos music box 2 bruno gate";"Best";"1.388263";"Pouet";"";"";"Gate";"b\brunos-musicbox-ii-gate";"musicdisk";"";"http://content.pouet.net/files/screenshots/00009/00009067.gif";"august 1990";"Bruno's Musicbox II";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9067";"brunos musicbox 2 brunosmusicbox2 gate brunosmusicboxiigate"
"BrunosMusicBox3\BrunosMusicBox3.Slave";"NoError";"Bruno's MusicBox 3 ? 1991 Anarchy.";"Bruno";"1991 Anarchy";"0";"B\BrunosMusicBox3_v1.0_Anarchy.lha";"BrunosMusicBox3";"BrunosMusicBox3";"0";"whdload";"524288";"1817058";"BrunosMusicBox3";"OCS/ECS";"";"";"";"";"";"brunos music box 3 bruno anarchy";"Best";"2.190169";"Pouet";"";"";"Anarchy";"b\brunos-box-3-anarchy";"musicdisk";"";"http://content.pouet.net/files/screenshots/00008/00008871.gif";"august 1991";"brunos box 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8871";"brunos box 3 brunosbox3 anarchy brunosbox3anarchy"
"BubonicPlague\BubonicPlague.Slave";"NoError, EmulTrap, ClearMem";"Bubonic Plague ? 1989 Bloodsuckers.";"Bubonic Plague";"1989 Bloodsuckers";"0";"B\BubonicPlague_v1.0_Bloodsuckers.lha";"BubonicPlague";"BubonicPlague";"0";"whdload";"524288";"98088";"BubonicPlague";"OCS/ECS";"";"";"";"";"";"bubonic plague bloodsuckers";"Exact";"100";"Pouet";"";"";"Bloodsuckers";"b\bubonic-plague-bloodsuckers";"intro";"";"http://content.pouet.net/files/screenshots/00034/00034301.gif";"n/a";"Bubonic Plague";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=34301";"bubonic plague bubonicplague bloodsuckers bubonicplaguebloodsuckers"
"BurningSpear\BurningSpear.Slave";"NoError, EmulTrap, ClearMem";"Burning Spear ? 1992 The Dark Demon.";"Burning Spear";"1992 The Dark Demon";"0";"B\BurningSpear_v1.0_DarkDemon.lha";"BurningSpear";"BurningSpear";"0";"whdload";"524288";"921680";"BurningSpear";"OCS/ECS";"";"";"";"";"";"burning spear the dark demon";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"The Dark Demon";;"Demo";"Assembly 1992";;"7/92";"Burning Spear";;;"burning spear burningspear the dark demon burningspearthedarkdemon"
"C64Demos\C64Demos.Slave";"NoError, EmulTrap, ClearMem";"C64 Demo ? 1989 Quadlite.";"C64 Demo";"1989 Quadlite";"0";"C\C64Demos_v1.0_Quadlite.lha";"C64Demos";"C64Demos";"0";"whdload";"524288";"836916";"C64";"OCS/ECS";"";"";"Demos";"";"";"c 64 quadlite";"Exact";"100";"Demos Custom";;;"Quadlite";;"Demo";"";;"1989";"C-64";"ECS/OCS";;"c 64 c64 quadlite c64quadlite"
"CanIPlayWithMadness\CanIPlayWithMadness.Slave";"NoError";"Can I Play Whit Madness ? Defcon 1.";"Can I play with madness";"Defcon 1";"0";"C\CanIPlayWithMadness_v1.0_Defcon1.lha";"CanIPlayWithMadness";"CanIPlayWithMadness";"0";"whdload";"524288";"1134335";"CanIPlayWithMadness";"OCS/ECS";"";"";"";"";"";"can iplay with madness 1 play defcon";"Best";"3.605954";"Janeway Amiga Scene Demo Database";;;"Defcon One";;"Demo";"Royal Amiga Force Conference 1991";;"";"Can I Play With Madness ?";;;"can 1 play with madness can1playwithmadness defcon one caniplaywithmadnessdefconone"
"CapricornOne\CapricornOne.Slave";"NoError, EmulTrap";"Capricorn One by Cydonia (1 disk).";"Capricorn One";"1995 Cydonia";"0";"C\CapricornOne_v1.0_Cydonia.lha";"CapricornOne";"CapricornOne";"0";"whdload";"524288";"908008";"CapricornOne";"OCS/ECS";"";"";"";"";"";"capricorn one cydonia";"Exact";"100";"Pouet";"";"";"cydonia";"c\capricorn-one-cydonia";"demo";"";"http://content.pouet.net/files/screenshots/00010/00010242.jpg";"july 1995";"Capricorn One";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10242";"capricorn one capricornone cydonia capricornonecydonia"
"CapturedDreamsAGA\CapturedDreamsAGA.Slave";"NoError, Req68020, ReqAGA, ClearMem";"Captured Dreams ? 1997 The Black Lotus";"Captured Dreams";"1997 The Black Lotus";"3362816";"C\CapturedDreams_v1.0_BlackLotus_AGA.lha";"CapturedDreamsAGA";"CapturedDreamsAGA";"0";"whdload";"1781760";"5155671";"CapturedDreams";"AGA";"";"";"";"";"";"captured dreams aga the black lotus";"Best";"3.164978";"Pouet";"amiga demo";"1st";"The Black Lotus";"c\captured-dreams-the-black-lotus";"demo";"The Gathering 1997";"http://content.pouet.net/files/screenshots/00000/00000022.jpg";"april 1997";"Captured Dreams";"Amiga AGA";"http://www.pouet.net/prod.php?which=22";"captured dreams captureddreams the black lotus captureddreamstheblacklotus"
"Cebit89\Cebit89.Slave";"NoError, EmulTrap, ClearMem";"Cebit '89 ? 1989 Exact.";"Cebit ";"1989 Exact";"0";"C\Cebit89_v1.0_Exact.lha";"Cebit89";"Cebit89";"0";"whdload";"524288";"153434";"Cebit89";"OCS/ECS";"";"";"";"";"";"cebit 89 exact";"Exact";"100";"Pouet";"";"";"Exact";"c\cebit89-exact";"demo";"";"http://content.pouet.net/files/screenshots/00020/00020315.png";"n/a";"Cebit'89";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=20315";"cebit 89 cebit89 exact cebit89exact"
"Cebit90\Cebit90.Slave";"Disk, NoError, EmulTrap";"Cebit'90 (Revenge of Babbnaasen), ?1990 RSI";"- Cebit";"1990 Red Sector Incorporated";"0";"C\Cebit90_v1.0_RedSectorInc.lha";"Cebit90";"Cebit90";"0";"whdload";"1048576";"411267";"Cebit90";"OCS/ECS";"";"";"";"";"";"cebit 90 red sector incorporated";"Best";"2.188437";"Pouet";"amiga demo";"1st";"Red Sector Inc.";"c\cebit-demo-90-revenge-of-babbnaasen-red-sector-inc";"demo";"CeBIT Demo Competition 1990";"http://content.pouet.net/files/screenshots/00003/00003024.png";"march 1990";"Cebit demo 90 - Revenge of babbnaasen";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3024";"cebit demo 90 revenge of babbnaasen cebitdemo90revengeofbabbnaasen red sector inc cebitdemo90revengeofbabbnaasenredsectorinc"
"Celebration\Celebration.Slave";"NoError, EmulTrap, ClearMem";"Celebration ? 1989 It.";"Celebration";"1989 It";"0";"C\Celebration_v1.0_It.lha";"Celebration";"Celebration";"0";"whdload";"524288";"499788";"Celebration";"OCS/ECS";"";"";"";"";"";"celebration it";"Exact";"100";"Pouet";"";"";"IT";"c\celebration-it";"musicdisk";"";"http://content.pouet.net/files/screenshots/00003/00003592.gif";"august 1989";"Celebration";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3592";"celebration celebration it celebrationit"
"CerebralDelights\CerebralDelights.Slave";"NoError, EmulTrap, ClearMem";"Cerebral Delights ? 1991 Goldfire.";"Cerebral Delights";"1991 Goldfire";"0";"C\CerebralDelights_v1.0_Goldfire.lha";"CerebralDelights";"CerebralDelights";"0";"whdload";"524288";"1121644";"CerebralDelights";"OCS/ECS";"";"";"";"";"";"cerebral delights goldfire";"Exact";"100";"Pouet";"";"";"Goldfire";"c\cerebral-delights-goldfire";"musicdisk";"";"http://content.pouet.net/files/screenshots/00064/00064327.png";"1991";"Cerebral Delights";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=64327";"cerebral delights cerebraldelights goldfire cerebraldelightsgoldfire"
"CheckedImplosion\CheckedImplosion.Slave";"Disk, NoError, EmulTrap";"Checked Implosion ? 1992 Intryx - 1 disk";"Checked Implosion";"1992 Intryx";"0";"C\CheckedImplosion_v1.0_Intryx.lha";"CheckedImplosion";"CheckedImplosion";"0";"whdload";"524288";"913636";"CheckedImplosion";"OCS/ECS";"";"";"";"";"";"checked implosion intryx";"Exact";"100";"Pouet";"";"";"Intryx";"c\checked-implosion-intryx";"demo";"";"http://content.pouet.net/files/screenshots/00054/00054474.png";"september 1992";"Checked implosion";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=54474";"checked implosion checkedimplosion intryx checkedimplosionintryx"
"Cherokee\Cherokee.Slave";"NoError, EmulTrap, ClearMem";"Cherokee ? 1993 Manitou.";"Cherokee";"1993 Manitou";"524288";"C\Cherokee_v1.0_Manitou.lha";"Cherokee";"Cherokee";"0";"whdload";"524288";"924343";"Cherokee";"OCS/ECS";"";"";"";"";"";"cherokee manitou";"Exact";"100";"Pouet";"";"";"manitou";"c\cherokee-manitou";"musicdisk";"";"http://content.pouet.net/files/screenshots/00053/00053295.jpg";"1993";"Cherokee";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=53295";"cherokee cherokee manitou cherokeemanitou"
"ChipAttack\ChipAttack.Slave";"NoError";"Chip Attack ? 1995 Anathema - 2 disks";"Chip Attack";"1995 Anathema";"0";"C\ChipAttack_v1.1_Anathema.lha";"ChipAttack";"ChipAttack";"0";"whdload";"1048576";"1820921";"ChipAttack";"OCS/ECS";"";"";"";"";"";"chip attack anathema";"Exact";"100";"Pouet";"";"";"Anathema";"c\chip-attack-anathema";"musicdisk";"";"http://content.pouet.net/files/screenshots/00014/00014887.png";"1995";"Chip Attack";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=14887";"chip attack chipattack anathema chipattackanathema"
"ChipMusic\ChipMusic.Slave";"NoError, EmulTrap, ClearMem";"Chip Music ? 1989 Slipstream.";"Chip Music";"1989 Slipstream";"0";"C\ChipMusic_v1.0_Slipstream.lha";"ChipMusic";"ChipMusic";"0";"whdload";"524288";"67118";"ChipMusic";"OCS/ECS";"";"";"";"";"";"chip music slipstream";"Best";"1.258615";"Pouet";"";"";"Magnetic Fields";"c\chip-music-festival-magnetic-fields";"musicdisk";"";"http://content.pouet.net/files/screenshots/00011/00011196.gif";"1990";"Chip Music Festival";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=11196";"chip music festival chipmusicfestival magnetic fields chipmusicfestivalmagneticfields"
"ChipMusicFestival\ChipMusicFestival.Slave";"NoError, EmulTrap, ClearMem";"Chip Music Festival ? 1990 Magnetic Fields.";"Chip Music Festival";"1990 Magnetic Fields";"0";"C\ChipMusicFestival_v1.0_MagneticFields.lha";"ChipMusicFestival";"ChipMusicFestival";"0";"whdload";"524288";"920426";"ChipMusicFestival";"OCS/ECS";"";"";"";"";"";"chip music festival magnetic fields";"Exact";"100";"Pouet";"";"";"Magnetic Fields";"c\chip-music-festival-magnetic-fields";"musicdisk";"";"http://content.pouet.net/files/screenshots/00011/00011196.gif";"1990";"Chip Music Festival";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=11196";"chip music festival chipmusicfestival magnetic fields chipmusicfestivalmagneticfields"
"Chords\Chords.Slave";"NoError, EmulTrap, ClearMem";"Chords ? 1991 Foundation.";"Chords";"1991 Foundation";"0";"C\Chords_v1.0_Foundation.lha";"Chords";"Chords";"0";"whdload";"524288";"920565";"Chords";"OCS/ECS";"";"";"";"";"";"chords foundation";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Foundation";;"Musicdisk";"";;"";"Chords";;;"chords chords foundation chordsfoundation"
"Chromagic\Chromagic.Slave";"NoError, EmulTrap, ClearMem";"Chromagic ? 1993 Dual Crew Shining.";"Chromagic";"1993 Dual Crew Shining";"524288";"C\Chromagic_v1.3_DualCrewShining.lha";"Chromagic";"Chromagic";"0";"whdload";"524288";"1143425";"Chromagic";"OCS/ECS";"";"";"";"";"";"chromagic dual crew shining";"Exact";"100";"Pouet";"";"";"Dual Crew & Shining";"c\chromagic-dual-crew-shining";"musicdisk";"";"http://content.pouet.net/files/screenshots/00002/00002290.png";"march 1993";"Chromagic";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=2290";"chromagic chromagic dual crew shining chromagicdualcrewshining"
"CircleScroller\CircleScroller.Slave";"NoError, EmulTrap, ClearMem";"Circle Scroller ? 1989 United Forces.";"Circle Scroller";"1989 United Forces";"0";"C\CircleScroller_v1.0_UnitedForces.lha";"CircleScroller";"CircleScroller";"0";"whdload";"524288";"124351";"CircleScroller";"OCS/ECS";"";"";"";"";"";"circle scroller united forces";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"United Forces";;"Demo";"";;"9/89";"Circle Scroller";;;"circle scroller circlescroller united forces circlescrollerunitedforces"
"ClappingWorld\ClappingWorld.Slave";"NoError, EmulTrap, ClearMem";"Clapping World ? 1989 Subway.";"Clapping Hands";"1989 Subway";"0";"C\ClappingWorld_v1.0_Subway.lha";"ClappingWorld";"ClappingWorld";"0";"whdload";"524288";"919331";"ClappingWorld";"OCS/ECS";"";"";"";"";"";"clapping world hands subway";"Best";"2.780918";"Pouet";"";"";"Subway";"c\clapping-world-subway";"musicdisk";"";"http://content.pouet.net/files/screenshots/00027/00027479.png";"1989";"Clapping World";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=27479";"clapping world clappingworld subway clappingworldsubway"
"CocaColaDemo\CocaColaDemo.Slave";"NoError, EmulTrap, ClearMem";"Coca Cola Demo ? 1989 Fraxion.";"Coca Cola Demo";"1989 Fraxion";"0";"C\CocaColaDemo_v1.0_Fraxion.lha";"CocaColaDemo";"CocaColaDemo";"0";"whdload";"524288";"311911";"CocaCola";"OCS/ECS";"";"";"Demo";"";"";"coca cola demo fraxion";"Best";"3.766221";"Pouet";"";"";"Fraxion";"c\coca-cola-fraxion";"demo";"";"http://content.pouet.net/files/screenshots/00049/00049175.jpg";"1989";"Coca Cola";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=49175";"coca cola cocacola fraxion cocacolafraxion"
"Codertrash\Codertrash.Slave";"NoError, EmulTrap, ClearMem";"The Codertrash ? 1991 Mexx.";"The Codertrash";"1991 Mexx";"0";"C\Codertrash_v1.0_Mexx.lha";"Codertrash";"Codertrash";"0";"whdload";"524288";"324130";"Codertrash";"OCS/ECS";"";"";"";"";"";"codertrash the mexx";"Best";"3.507972";"Pouet";"";"";"mexx";"c\coder-trash-mexx";"demo";"";"http://content.pouet.net/files/screenshots/00055/00055087.png";"1991";"Coder Trash";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55087";"coder trash codertrash mexx codertrashmexx"
