"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query"
"NoError, EmulPriv, Examine";"574327";"E\EmeraldMine\EmeraldMine.slave";"Emerald Mine (c) 1987 Kingsoft.";"0";"EmeraldMine";"Emerald Mine";"1987 Kingsoft";"917504";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EmeraldMine";"OCS/ECS";"";"";"";"";"emerald mine english"
"NoError, EmulPriv, Examine";"649878";"E\EmeraldMine2\EmeraldMine2.slave";"Emerald Mine 2 (c) 1988 Kingsoft.";"0";"EmeraldMine2";"Emerald Mine 2";"1988 Kingsoft";"917504";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EmeraldMine2";"OCS/ECS";"";"";"";"";"emerald mine 2 english"
"NoError, EmulPriv, Examine";"571216";"E\EmeraldMine3\EmeraldMine3.slave";"Emerald Mine 3 Professional (c) 1990 Kingsoft.";"0";"EmeraldMine3";"Emerald Mine 3 Professional";"1990 Kingsoft";"917504";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EmeraldMine3";"OCS/ECS";"";"";"";"";"emerald mine 3 professional english"
"NoError, EmulTrap";"439267";"E\EmlynHughesIntlSoccer\EmlynHughesIntlSoccer.slave";"Emlyn Hughes International Soccer by Audiogenic (c) 1989 - 1 disk.";"0";"EmlynHughesIntlSoccer";"Emlyn Hughes International Soccer";"1989 Audiogenic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EmlynHughesIntlSoccer";"OCS/ECS";"";"";"";"";"emlyn hughes intl soccer international english"
"NoError, EmulPriv";"924789";"E\Emmanuelle\Emmanuelle.Slave";"Emmanuelle ? 1988 TomaHawk.";"0";"Emmanuelle";"Emmanuelle ";"1988 TomaHawk";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Emmanuelle";"OCS/ECS";"";"";"";"";"emmanuelle english"
"NoError, EmulTrap, NoDivZero";"373539";"E\EMotion\EMotion.Slave";"E-Motion (c) 1990 Assembly Line/US Gold - 1 disk.";"0";"EMotion";"E-Motion";"1990 Assembly Line/US Gold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EMotion";"OCS/ECS";"";"";"";"";"emotion motion english"
"NoError, EmulTrap";"460522";"E\EmpireSoccer94\EmpireSoccer94.Slave";"Empire Soccer 94, ?1994 Graftgold / Empire";"0";"EmpireSoccer94";"--<> Empire Soccer 94 <>--";"1994 Graftgold / Empire";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EmpireSoccer94";"OCS/ECS";"";"";"";"";"empire soccer 94 english"
"NoError, EmulTrap";"456541";"E\EmpireStrikesBack\EmpireStrikesBack.Slave";"Empire Strikes Back (c) 1989 Vektor Grafix/Domark - 1";"0";"EmpireStrikesBack";"Empire Strikes Back";"1989 Vektor Grafix/Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EmpireStrikesBack";"OCS/ECS";"";"";"";"";"empire strikes back english"
"Disk, NoError, EmulTrap, NoKbd";"1008949";"E\EnchantedLand\EnchantedLand.Slave";"Enchanted Land ? 1990 Thalion";"0";"EnchantedLand";"Enchanted Land";"1990 Thalion";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EnchantedLand";"OCS/ECS";"";"";"";"";"enchanted land english"
"Disk, NoError, EmulTrap, EmulDivZero";"484276";"E\Encounter\Encounter.slave";"Encounter (c) 1991 Novagen.";"0";"Encounter";"Encounter";"1991 Novagen";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Encounter";"OCS/ECS";"";"";"";"";"encounter english"
"NoError, Req68020, EmulPriv, Examine";"1596599";"E\Enemy(EasyPlay)\Enemy(EasyPlay).Slave";"Enemy - Tempest Of Violence ? 1997 Anachronia.";"0";"Enemy(EasyPlay)";"Enemy - Tempest Of Violence";"1997 Anachronia";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Enemy";"OCS/ECS";"";"";"";"(EasyPlay)";"enemy tempest of violence english"
"NoError, EmulPriv, Examine";"1155708";"E\Enemy2\Enemy2.Slave";"Enemy 2 - Missing in Action ? 2013 Anachronia.";"0";"Enemy2";"Enemy 2 - Missing in Action";"2013 Anachronia";"557056";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Enemy2";"OCS/ECS";"";"";"";"";"enemy 2 missing in action english"
"NoError, EmulPriv, Examine";"1177252";"E\Enemy2MissingInAction\Enemy2MissingInAction.Slave";"Enemy 2 - Missing in Action ? 2013 Anachronia.";"0";"Enemy2MissingInAction";"Enemy 2 - Missing in Action";"2013 Anachronia";"557056";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Enemy2MissingInAction";"OCS/ECS";"";"";"";"";"enemy 2 missing in action english"
"NoError, Req68020, EmulPriv, Examine";"1404913";"E\EnemyTempestOfViolence\EnemyTempestOfViolence.Slave";"Enemy - Tempest Of Violence ? 1997 Anachronia.";"0";"EnemyTempestOfViolence";"Enemy - Tempest Of Violence";"1997 Anachronia";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EnemyTempestOfViolence";"OCS/ECS";"";"";"";"";"enemy tempest of violence english"
"NoError, Req68020, EmulPriv, Examine";"1403663";"E\EnemyTOVEasyPlay\EnemyTOVEasyPlay.Slave";"Enemy - Tempest Of Violence ? 1997 Anachronia.";"0";"EnemyTOVEasyPlay";"Enemy - Tempest Of Violence";"1997 Anachronia";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EnemyTOVEasyPlay";"OCS/ECS";"";"";"";"";"enemy toveasy play tempest of violence english"
"NoError, NoKbd, EmulPriv, Examine";"916336";"E\Enforcer\Enforcer.Slave";"The Enforcer ? 1990 Trojan.";"0";"Enforcer";"The Enforcer";"1990 Trojan.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Enforcer";"OCS/ECS";"";"";"";"";"enforcer the"
"NoError, EmulTrap";"517441";"E\EnglandChampSpecial\EnglandChampSpecial.Slave";"England Championship Special (c) 1991 Grandslam -";"0";"EnglandChampSpecial";"England Championship Special";"1991 Grandslam";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EnglandChampSpecial";"OCS/ECS";"";"";"";"";"england champ special championship english"
"EmulPriv, ClearMem, Examine";"774708";"E\Enlightenment\Enlightenment.Slave";"";"0";"Enlightenment";"Enlightenment: Druid II";"1988 Firebird / Bullfrog";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Enlightenment";"OCS/ECS";"";"";"";"";"enlightenment druid 2 english"
"NoError, EmulTrap";"3118051";"E\Entity\Intro.slave";"Entity by Loriciel (c) 1992 - 4 disks.";"0";"Entity";"Entity - intro";"1992 Loriciel";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Entity";"OCS/ECS";"";"";"";"";"entity intro english"
"NoError, EmulTrap";"3118051";"E\Entity\Entity.slave";"Entity by Loriciel (c) 1992 - 4 disks.";"0";"Entity";"Entity";"1992 Loriciel";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Entity";"OCS/ECS";"";"";"";"";"entity english"
"Disk, NoError, EmulTrap, NoDivZero";"2720597";"E\Epic\Epic.slave";"Epic and Epic mission disk ? 1992 Ocean.";"0";"Epic";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Epic";"OCS/ECS";"";"";"";"";"epic english"
"Disk, NoError, EmulTrap, NoDivZero";"3026600";"E\Epic&MissionDisk\Epic&MissionDisk.slave";"Epic and Epic mission disk ? 1992 Ocean.";"0";"Epic&MissionDisk";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Epic&MissionDisk";"OCS/ECS";"";"";"";"";"epic mission english"
"NoError, EmulTrap";"421206";"E\Erik\Erik.Slave";"Erik (c) 1992 Atlantis - 1 disk.";"0";"Erik";"Erik";"1992 Atlantis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Erik";"OCS/ECS";"";"";"";"";"erik english"
"NoError, EmulTrap, ClearMem";"893627";"E\EscapeFromColditz\EscapeFromColditz.slave";"Escape from Colditz by Digital Magic Software (c) 1990 - 1 disk.";"0";"EscapeFromColditz";"Escape from Colditz";"1990 Digital Magic Software";"548864";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EscapeFromColditz";"OCS/ECS";"";"";"";"";"escape from colditz english"
"NoError, EmulTrap";"921009";"E\EscapeFTPOTRobotMonsters\EscapeFTPOTRobotMonsters.slave";"Escape from the Planet of the Robot Monsters ? 1990 Tengen.";"0";"EscapeFTPOTRobotMonsters";"Escape from the Planet of the Robot Monsters";"1990 Tengen";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EscapeFTPOTRobotMonsters";"OCS/ECS";"";"";"";"";"escape ftpotrobot monsters from the planet of robot english"
"NoError, EmulTrap, ClearMem";"923421";"E\EskimoGames\EskimoGames.Slave";"Eskimo Games (c) 1989 Maitai/Magic Bytes - 1 disk.";"0";"EskimoGames";"Eskimo Games";"1989 Maitai/Magic Bytes";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EskimoGames";"OCS/ECS";"";"";"";"";"eskimo games english"
"NoError, EmulTrap, ClearMem";"2115518";"E\EspanaTheGames92\EspanaTheGames92.Slave";"Espana The Games by Ocean/Creative Materials (c) 1992 - 4 disks.";"0";"EspanaTheGames92";"Espana The Games ";"1992 Ocean";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EspanaTheGames92";"OCS/ECS";"";"";"";"";"espana the games 92 english"
"NoError, EmulTrap, NoDivZero, ClearMem";"1890500";"E\ESWAT\ESWAT.Slave";"Eswat ? 1990 USGOLD.";"0";"ESWAT";"ESWAT";"1990 US GOLD";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ESWAT";"OCS/ECS";"";"";"";"";"eswat english"
"NoError, ClearMem";"1367024";"E\ETsRugbyLeague\ETsRugbyLeague.Slave";"E.T.'s Rugby League (c) 1992 Audiogenic - 1 disk.";"0";"ETsRugbyLeague";"E.T.";"1992 Audiogenic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ETsRugbyLeague";"OCS/ECS";"";"";"";"";"ets rugby league english"
"NoError, EmulTrap, ClearMem";"2718679";"E\EuropeanChampionship1992\EuropeanChampionship1992.slave";"European Championship 1992 ? 1992 Elite.";"0";"EuropeanChampionship1992";"European Championship 1992";"1992 Elite";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EuropeanChampionship1992";"OCS/ECS";"";"";"";"";"european championship 1992 english"
"NoError, EmulTrap";"1815248";"E\EuropeanChampionsOcean\EuropeanChampionsOcean.Slave";"European Champions by Ocean/Audiogenic (c) 1993 - 2 disks.";"0";"EuropeanChampionsOcean";"European Champions";"1993 Ocean";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EuropeanChampionsOcean";"OCS/ECS";"";"";"";"";"european champions ocean english"
"NoError, EmulTrap";"758158";"E\EuropeanFootballChamp\EuropeanFootballChamp.Slave";"European Football Champ (c) 1992 Domark - 1 disk.";"0";"EuropeanFootballChamp";"European Football Champ";"1992 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EuropeanFootballChamp";"OCS/ECS";"";"";"";"";"european football champ english"
"NoError, EmulTrap, ClearMem";"1829681";"E\EuroSoccer\EuroSoccer.Slave";"Euro Soccer ? 1992 Flair.";"0";"EuroSoccer";"Euro Soccer";"1992 Flair";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EuroSoccer";"OCS/ECS";"";"";"";"";"euro soccer english"
"NoError, EmulPriv, Examine";"341226";"E\EvilDawn\EvilDawn.Slave";"Global Trek & Evil Dawn ? 1988 ECP.";"0";"EvilDawn";"Global Trek & Evil Dawn";"1989 ECP.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EvilDawn";"OCS/ECS";"";"";"";"";"evil dawn global trek english"
"NoError, ReqAGA, ClearMem";"4430610";"E\EvilsDoomDemo\EvilsDoomDemo.Slave";"Evil's Doom demo ? 1996 Olympia Software";"0";"EvilsDoomDemo";"Evil";"1996 Olympia Software";"983040";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EvilsDoom";"AGA";"";"";"Demo";"";"evils doom evil english"
"NoError, NoKbd, EmulPriv";"914698";"E\Excalibur\Excalibur.Slave";"Excalibur ? 1988 KingSoft.";"0";"Excalibur";"Excalibur";"1988 KingSoft";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Excalibur";"OCS/ECS";"";"";"";"";"excalibur english"
"NoError, EmulTrap, NoKbd";"1567061";"E\Executioner\Executioner.Slave";"Executioner (c) 1991 Hawk - 2 disks.";"0";"Executioner";"Executioner";"1991 Hawk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Executioner";"OCS/ECS";"";"";"";"";"executioner english"
"NoError, EmulTrap, ClearMem";"784045";"E\Exile\Exile.Slave";"Exile by Audiogenic (c) 1991 - 1 disk.";"0";"Exile";"--> Exile <--";"1991 Audiogenic";"532480";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Exile";"OCS/ECS";"";"";"";"";"exile english"
"Disk, NoError";"914103";"E\Exolon\Exolon.Slave";"Exolon ? 1989 Hewson.";"0";"Exolon";"Exolon";"1989 Hewson";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Exolon";"OCS/ECS";"";"";"";"";"exolon english"
"NoError, NoKbd";"809623";"E\Extase\Extase.Slave";"Extase ? 1990 Cryo/Virgin Losirs.";"0";"Extase";"Extase";"1990 Cryo/Virgin Loisirs ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Extase";"OCS/ECS";"";"";"";"";"extase english"
"NoError";"910467";"E\Exterminator\Exterminator.slave";"Exterminator by Audiogenic/Assembly Line (c) 1990 - 1 disk.";"0";"Exterminator";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Exterminator";"OCS/ECS";"";"";"";"";"exterminator english"
"NoError, ClearMem";"711715";"E\Extrial\Extrial.slave";"Extrial by Computer Verlag - 1 disk.";"0";"Extrial";"Extrial";"?? Computer Verlag";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Extrial";"OCS/ECS";"";"";"";"";"extrial english"
"NoError, EmulTrap, ClearMem";"455530";"E\Eye\Eye.Slave";"Eye ?1988 Endurance Games";"0";"Eye";"Eye";"1988 Endurance Games";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Eye";"OCS/ECS";"";"";"";"";"eye english"
"Disk, NoError, EmulTrap";"588733";"E\EyeOfHorus\EyeOfHorus.slave";"";"0";"EyeOfHorus";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EyeOfHorus";"OCS/ECS";"";"";"";"";"eye of horus english"
"NoError, EmulPriv, Examine";"2283520";"E\EyeOfTheBeholder\EyeOfTheBeholder.Slave";"Eye Of The Beholder ? 1990 Westwood/SSI.";"0";"EyeOfTheBeholder";"Eye Of The Beholder";"1990 Westwood/SSI.";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EyeOfTheBeholder";"OCS/ECS";"";"";"";"";"eye of the beholder english"
"NoError, Req68020, EmulPriv, Examine";"3321095";"E\EyeOfTheBeholder2\EyeOfTheBeholder2.Slave";"Eye Of The Beholder II ? 1992 Westwood/SSI.";"0";"EyeOfTheBeholder2";"Eye Of The Beholder II (Legend Of Darkmoon)";"1992 Westwood/SSI";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EyeOfTheBeholder2";"OCS/ECS";"";"";"";"";"eye of the beholder 2 legend darkmoon english"
"NoError, ClearMem";"574882";"E\EyeOfTheStorm\Intro.Slave";"Eye Of The Storm ? 1991 Rebellion";"0";"EyeOfTheStorm";"Eye Of Storm (Intro)";"1991 Rebellion";"229376";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EyeOfTheStorm";"OCS/ECS";"";"";"";"";"eye of the storm intro english"
"NoError, ClearMem";"574882";"E\EyeOfTheStorm\EyeOfTheStorm.Slave";"Eye Of The Storm ? 1991 Rebellion";"0";"EyeOfTheStorm";"Eye Of Storm";"1991 Rebellion";"262144";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"EyeOfTheStorm";"OCS/ECS";"";"";"";"";"eye of the storm english"
"Disk, NoError, EmulTrap";"958647";"F\F1\F1.slave";"F1 Racing (c) 1993 Domark (1 disk version).";"0";"F1";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F1";"OCS/ECS";"";"";"";"";"1 english"
"NoError";"1196851";"F\F15StrikeEagle2\F15StrikeEagle2.Slave";"F-15 Strike Eagle 2 (c) 1991 Microprose - 2 disks.";"0";"F15StrikeEagle2";"F-15 Strike Eagle 2";"1991 Microprose";"983040";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F15StrikeEagle2";"OCS/ECS";"";"";"";"";"15 strike eagle 2 english"
"Disk, NoError, EmulTrap";"1829741";"F\F16CombatPilot\F16CombatPilot.Slave";"";"0";"F16CombatPilot";"F-16 Combat Pilot";"1989 Digital Integration";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F16CombatPilot";"OCS/ECS";"";"";"";"";"16 combat pilot english"
"NoError";"1762119";"F\F17Challenge\F17Challenge.Slave";"F17 Challenge ? 1993 Team 17 - 2 disks";"0";"F17Challenge";"F17 Challenge";"1993 Team 17";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F17Challenge";"OCS/ECS";"";"";"";"";"17 challenge english"
"Disk, NoError, EmulTrap";"1689082";"F\F19StealthFighter\F19StealthFighter.Slave";"";"0";"F19StealthFighter";"F-19 Stealth Fighter";"1988 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F19StealthFighter";"OCS/ECS";"";"";"";"";"19 stealth fighter english"
"NoError, EmulTrap, NoKbd";"308729";"F\F1Tornado\F1Tornado.Slave";"F1 Tornado by Zeppelin/Quex Development (c) 1992 - 1 disk.";"0";"F1Tornado";"F1 Tornado";"1992 Zeppelin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F1Tornado";"OCS/ECS";"";"";"";"";"1 tornado english"
"Disk, NoError, EmulTrap";"906561";"F\F1WorldChampionshipEd\F1WorldChampionshipEd.slave";"F1 World Championship Edition (c) 1995 Domark";"1044480";"F1WorldChampionshipEd";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F1WorldChampionshipEd";"OCS/ECS";"";"";"";"";"1 world championship ed english"
"Disk, NoError, EmulTrap, NoDivZero";"1828177";"F\F29Retaliator\F29Retaliator.Slave";"";"0";"F29Retaliator";"F-29 Retaliator";"1989 Ocean Software Ltd.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F29Retaliator";"OCS/ECS";"";"";"";"";"29 retaliator english"
"NoError, EmulTrap, NoDivZero, ClearMem";"466479";"F\F40PursuitSimulator\F40PursuitSimulator.Slave";"Crazy Cars 2/F40 Pursuit Simulator ? 1989 Titus.";"0";"F40PursuitSimulator";"Crazy Cars 2/F40 Pursuit Simulator";"1989 Titus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"F40PursuitSimulator";"OCS/ECS";"";"";"";"";"40 pursuit simulator crazy cars 2 english"
"NoError, EmulPriv, Examine";"744882";"F\FA18Interceptor\FA18Interceptor.slave";"F-18 Interceptor ? 1988 Intellisoft/Electronic Arts.";"0";"FA18Interceptor";"F/A-18 Interceptor";"1988 Intellisoft/Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FA18Interceptor";"OCS/ECS";"";"";"";"";"fa 18 interceptor english"
"NoError, EmulTrap";"925223";"F\FaceOff\FaceOff.Slave";"Face-Off ? 1991 Krisalis.";"0";"FaceOff";"Face-Off";"1991 Krisalis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FaceOff";"OCS/ECS";"";"";"";"";"face off english"
"NoError, EmulPriv, Examine";"1872454";"F\FaeryTaleAdventure\FaeryTaleAdventure.slave";"The Faery Tale Adventure ? 1986 Microillusions";"0";"FaeryTaleAdventure";"Faery Tale Adventure";"1986 Microillusions";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FaeryTaleAdventure";"OCS/ECS";"";"";"";"";"faery tale adventure english"
"NoError, NoDivZero, EmulPriv, ClearMem, Examine";"1669218";"F\Falcon\Falcon.Slave";"Falcon ? 1989 Spectrum HoloByte";"0";"Falcon";"Falcon";"1989 Spectrum HoloByte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Falcon";"OCS/ECS";"";"";"";"";"falcon english"
"NoError, NoDivZero, EmulPriv, ClearMem, Examine";"2551977";"F\Falcon&MissionDisks\Falcon&MissionDisks.Slave";"Falcon ? 1989 Spectrum HoloByte";"0";"Falcon&MissionDisks";"Falcon";"1989 Spectrum HoloByte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Falcon&MissionDisks";"OCS/ECS";"";"";"";"";"falcon mission disks english"
"NoError, EmulTrap, ClearMem";"761942";"F\FallenAngel\FallenAngel.slave";"Fallen Angel ? 1989 Emerald Software Ltd.";"0";"FallenAngel";"Fallen Angel";"1989 Emerald ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FallenAngel";"OCS/ECS";"";"";"";"";"fallen angel english"
"NoError, EmulTrap";"872472";"F\FantasticDizzy\FantasticDizzy.slave";"Fantastic Dizzy by Codemasters/Purple Haze (c) 1993, 2 disks.";"0";"FantasticDizzy";"Fantastic Dizzy";"1993 Code Masters";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FantasticDizzy";"OCS/ECS";"";"";"";"";"fantastic dizzy english"
"NoError, EmulTrap, EmulPriv, Examine";"3910715";"F\FantasticVoyageCDTV\FantasticVoyageCDTV.slave";"Fantastic Voyage, 2 disks, ? 1991 Centaur Software";"0";"FantasticVoyageCDTV";"Fantastic Voyage CDTV";"1992 Centaur Software";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FantasticVoyage";"CDTV";"";"";"";"";"fantastic voyage english"
"NoError, EmulPriv, Examine";"2033629";"F\FantasyFlyerAGA\FantasyFlyerAGA.Slave";"Fantasy Flyer ?1994 Gallica/Cobwebcut/Gabriel Leroy";"0";"FantasyFlyerAGA";"Fantasy Flyer (mode AGA)";"1994 Gallica/Cobwebcut/Gabriel Leroy.";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"FantasyFlyer";"AGA";"";"";"";"";"fantasy flyer mode english"
"NoError, EmulTrap";"914644";"F\FantasyWorldDizzy\FantasyWorldDizzy.Slave";"Fantasy World Dizzy by Code Masters (c) 1991 - 1 disk.";"0";"FantasyWorldDizzy";"Fantasy World Dizzy";"1991 Code Masters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FantasyWorldDizzy";"OCS/ECS";"";"";"";"";"fantasy world dizzy english"
"NoError, EmulPriv";"1551022";"F\Fascination\Fascination.Slave";"Fascination ? 1991 Coktel Vision/TomaHawk";"0";"Fascination";"Fascination";"1991 Coktel Vision/Tomahawk";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Fascination";"OCS/ECS";"";"";"";"";"fascination english"
"NoError, EmulPriv, Examine";"378523";"F\FastBreak\FastBreak.Slave";"Fast Break ? 1989 Accolade.";"0";"FastBreak";"Fast Break";"1989 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FastBreak";"OCS/ECS";"";"";"";"";"fast break english"
"NoError, EmulTrap, EmulPriv";"1195472";"F\FastBreakArcadia\FastBreakArcadia.Slave";"Arcadia Systems version of Magic Johnson's Fast Break";"0";"FastBreakArcadia";"Magic Johnson";"1988 Sculptured Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FastBreakArcadia";"OCS/ECS";"";"";"";"";"fast break arcadia magic johnson english"
"ClearMem";"326976";"F\FastFood\FastFood.Slave";"";"0";"FastFood";"Fast Food";"1990 Code Masters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FastFood";"OCS/ECS";"";"";"";"";"fast food english"
"ClearMem";"256523";"F\FastFoodDizzyCollection\FastFoodDizzyCollection.Slave";"";"0";"FastFoodDizzyCollection";"Fast Food";"1990 Code Masters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FastFoodDizzyCollection";"OCS/ECS";"";"";"";"";"fast food dizzy collection english"
"NoError, EmulTrap, ClearMem";"1611558";"F\FastLane\FastLane.Slave";"Fast Lane ? 1989 Artronic.";"0";"FastLane";"Fast Lane";"1989 Artronic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"FastLane";"OCS/ECS";"";"";"";"";"fast lane english"
