Whdownload Game Archive File;Whdload Name
CrystalKingdomDizzy_v1.0.zip;Crystal Kingdom Dizzy
CrystalPalace_v1.0.zip;Crystal Palace
CrystalsOfArborea_v1.2.zip;Crystals Of Arborea
Cubix_v1.0.zip;Cubix
Cubulus_v1.0_1857.zip;Cubulus
CurseOfEnchantia_v1.4_0283.zip;Curse Of Enchantia
CurseOfRA_v2.1.zip;Curse Of RA, The
CurseOfTheAzureBonds_v1.0_0982.zip;Curse Of The Azure Bonds
Custodian_v1.0_0312.zip;Custodian
CyberAssault_v1.1.zip;Cyber Assault
Cyberball_v1.0_1446.zip;Cyberball
Cyberblast_v0.9_1383.zip;Cyberblast
Cybercon3_v1.7_0243.zip;Cybercon III
CyberEmpires_v1.1.zip;Cyber Empires
Cybernetix_v1.0.zip;Cybernetix
Cybernoid_v1.3_1088.zip;Cybernoid: The Fighting Machine
Cybernoid2_v1.3_0003.zip;Cybernoid II: The Revenge
Cyberpunks_v1.2_0365.zip;Cyberpunks
CyberWorld_v1.0_2603.lha;Cyber World
Cyberzerk_v1.0.zip;Cyberzerk
Cycles_v1.0_1018.zip;Cycles, The: International Grand Prix Racing
Cygnus8_v1.0.lha;Cygnus 8
Cytron_v1.02_0110.zip;Cytron
DalekAttack_v1.2_1998.zip;Dalek Attack
DaleyThompsonsOlympicChallenge_v1.0_1Disk_0957.zip;Daley Thompson's Olympic Challenge (1 Disk)
Damage_v1.1.zip;Damage: The Sadistic Butchering Of Humanity
Damocles_v1.3_0643.zip;Damocles: Mercenary II
DanDare3_v1.0_2257.zip;Dan Dare III: The Escape
DangerousStreets_v1.2_AGA_1020.zip;Dangerous Streets (AGA)
Darius+_v1.0.zip;Darius+
DarkCentury_v1.0_0244.zip;Dark Century
DarkFusion_v1.0_2163.zip;Dark Fusion
Darkman_v1.0_1564.zip;Darkman
Darkmere_v1.1_0453.zip;Darkmere: The Nightmare's Begun
DarkQueenOfKrynn_v1.0.zip;Dark Queen Of Krynn, The
DarkSeed_v1.03_2141.zip;Dark Seed
DarkSeed_v1.03_CD32.zip;Dark Seed (CD32)
DarkSide_v1.1_1099.zip;Dark Side
DarkSpyre_v1.0_0111.zip;DarkSpyre
DasBoot_v1.0.zip;Boot, Das: German U-Boat Simulation
Datastorm_v1.2_1555.zip;Datastorm
DawnPatrol_v1.0_1614.zip;Dawn Patrol
DayOfThePharaoh_v1.0_2052.zip;Day Of The Pharaoh
DaysOfThunder_v1.0_0285.zip;Days Of Thunder
DeathBringer_v1.0_Spotlight_0316.zip;Death Bringer (Spotlight)
DeathKnightsOfKrynn_v1.1_0987.zip;Death Knights Of Krynn
DeathMask_v1.1_1326.zip;Death Mask
DeathMask_v1.1_AGA_1326.zip;Death Mask (AGA)
DeathSword_v1.0.zip;Death Sword
DeathTrap_v1.0_1021.zip;Death Trap
DebutPlanetSimulation_v1.1.lha;D
Deconstruction_v1.0_AGA.zip;Deconstruction (AGA)
Deconstruction_v1.0.zip;Deconstruction
Deep_v1.0.zip;Deep, The
DeepCore_v1.1.zip;Deep Core
DeepSpace_v1.2.zip;Deep Space
Defender_v1.0_Ratsoft.zip;Defender (Ratsoft)
Defender2_v1.0.zip;Defender II
DefenderOfTheCrown_v3.1_0317.zip;Defender Of The Crown
DefenderOfTheCrown_v3.1_CDTV.zip;Defender Of The Crown (CDTV)
DefenderOfTheCrown2_v1.1_CD32.zip;Defender Of The Crown II (CD32)
DefendersOfTheEarth_v1.1_0456.zip;Defenders Of The Earth
Deflektor_v1.11_1087.zip;Deflektor
DejaVu2LostInLasVegas_v1.0.zip;Deja Vu II: Lost In Las Vegas!!
DejaVuANightmareComesTrue_v1.0_1832.zip;Deja Vu: A Nightmare Comes True!!
Deliverance_v1.2_1500.zip;Deliverance
DeluxeGalaga_v1.1_AGA.zip;Deluxe Galaga (AGA)
DeluxeGalaga_v1.1.zip;Deluxe Galaga
DeluxePacman_v1.0_AGA.zip;Deluxe Pacman (AGA)
DeluxePacman_v1.0.zip;Deluxe Pacman
DeluxeStripPoker_v1.0_1022.zip;Deluxe Strip Poker
DeluxeStripPoker2_v1.0.zip;Deluxe Strip Poker 2
DeluxeStripPoker2&DataDisks_v1.0.zip;Deluxe Strip Poker 2 & Data Disks
Denaris_v1.1a_1Disk_2166.zip;Denaris (1 Disk)
Denjoy_v1.0.1.zip;Denjoy
Dennis_v1.5.2_CD32.zip;Dennis (CD32)
Dennis_v1.5.2.zip;Dennis
Dennis_v1.5.2_AGA.zip;Dennis (AGA)
DesertStrike_v2.3_0112.lha;Desert Strike: Return To The Gulf
Destroyer_v1.0_0318.zip;Destroyer
Detonator_v1.0.zip;Detonator
Detroit_v1.0_1861.lha;Detroit
Detroit_v1.0_AGA.lha;Detroit (AGA)
Deuteros_v1.10_0958.zip;Deuteros: The Next Millennium
DeviousDesigns_v1.2_0256.zip;Devious Designs
DGeneration_v2.1_AGA_0457.zip;D/Generation (AGA)
DGeneration_v2.1_CD32.zip;D/Generation (CD32)
DGeneration_v2.1_0677.zip;D/Generation
DickTracy_v1.0.zip;Dick Tracy
DickTracyAdventure_v1.0_2385.zip;Dick Tracy: The Crime Solving Adventure
DieHard2_v1.1_0113.zip;Die Hard 2: Die Harder
Digger_v1.0.zip;Digger
Diggers_v1.0_AGA_1172.zip;Diggers (AGA)
Diggers_v1.0_CD32.zip;Diggers (CD32)
DimosQuest_v1.1a_1216.zip;Dimo's Quest
DinosaurDetectiveAgency_v1.0_2617.zip;Dinosaur Detective Agency
DinoWars_v1.0.zip;Dino Wars
Disc_v1.1_1503.zip;Disc
Discovery_v1.0_2175.zip;Discovery: In The Steps Of Columbus
DisposableHero_v1.5_1367.zip;Disposable Hero
DisposableHero_v1.5_CD32.zip;Disposable Hero (CD32)
DistantArmies_v1.0_2551.zip;Distant Armies: A Playing History Of Chess
Ditris_v1.0.lha;Ditris
DizzyCollection_v1.2.zip;Dizzy Collection
DizzyDice_v1.0.zip;Dizzy Dice
DizzyPanic_v1.1.zip;Dizzy Panic
DizzyPrinceOfTheYolkfolk_v1.4_1146.lha;Dizzy - Prince Of The Yolkfolk
DizzysExcellentAdventures_v1.0_2502.zip;Dizzy's Excellent Adventures
Dogfight_v1.01.zip;Dogfight: 80 Years Of Aerial Warfare (15 MB - 15 MB)
DogsOfWar_v1.3.zip;Dogs Of War
DojoDan_v1.1_2503.zip;Dojo Dan
Dominator_v1.0_0646.zip;Dominator
Dominium_v1.0.zip;Dominium
DonaldsAlphabetChase_v1.0_2067.zip;Donald's Alphabet Chase
DonkeyKong_v1.0.zip;Donkey Kong
DonkTheSamuraiDuck_v1.2_0647.zip;Donk! - The Samurai Duck!
DonkTheSamuraiDuck_v1.2_AGA_0647.zip;Donk! - The Samurai Duck! (AGA)
Doodlebug_v1.2.zip;Doodlebug: Bug Bash 2
Doofus_v1.1_0648.zip;Doofus
DoubleAgent_v1.0.zip;Double Agent
DoubleDragon_v1.0_2438.zip;Double Dragon
DoubleDragon2_v1.4_0768.lha;Double Dragon II: The Revenge
DoubleDragon3_v1.2_0321.zip;Double Dragon 3: The Rosetta Stone
DownhillChallenge_v1.2.zip;Downhill Challenge
DragonBreed_v1.1_0441.zip;Dragon Breed
DragonFighter_v1.1_1023.zip;Dragon Fighter
Dragonflight_v1.5_2098.zip;Dragonflight
DragonsBreath_v1.5_0072.zip;Dragons Breath
DragonScape_v1.1.zip;DragonScape
DragonsLair_v1.2a_1360.zip;Dragon's Lair
DragonsLair&EscapeFromSingesCastle_v1.2a_Fast_1360&0980.zip;Dragon's Lair & Dragon's Lair: Escape From Singe's Castle (Fast)
DragonsLair2_v1.0_0059.zip;Dragon's Lair II: Time Warp
DragonsLair3_v1.0a_0649.zip;Dragon's Lair III: The Curse Of Mordread
DragonsLairEscapeFromSingesCastle_v1.2a_Fast_0980.zip;Dragon's Lair: Escape From Singe's Castle (Fast)
DragonSpirit_v1.1_1545.zip;Dragon Spirit
Dragonstone_v1.1_0471.zip;Dragonstone
Dragonstone_v1.0_CD32.zip;Dragonstone (CD32)
DragonStrike_v1.1_1479.zip;DragonStrike
DragonTiles_v1.0.zip;Dragon Tiles
DragonTiles_v1.0_AGA.zip;Dragon Tiles (AGA)
DragonTiles2_v1.0.zip;Dragon Tiles 2
DragonWars_v1.1.zip;Dragon Wars
Drakkhen_v1.2_0769.zip;Drakkhen
DrDoomsRevenge_v1.1_1Disk_2501.zip;Dr. Doom's Revenge! (1 Disk)
DreamWeb_v1.1_AGA_1815.zip;DreamWeb (AGA)
DreamWeb_v1.1_1660.zip;DreamWeb
Driller_v1.0_2256.zip;Driller
Drip_v1.0.zip;Drip
DrivinForce_v1.1_1521.zip;Drivin' Force
DrMario_v1.0.zip;Dr. Mario
DuckTales_v1.0_0299.zip;Duck Tales: The Quest For Gold
Dugger_v1.0_0322.zip;Dugger
Dune_v2.4_1156.zip;Dune
Dune2_v1.10b_1548.zip;Dune II: The Battle For Arrakis
DungeonMaster_v1.1_0833.zip;Dungeon Master
DungeonMaster2_v1.0_AGA_0899.zip;Dungeon Master II: The Legend Of Skullkeep (AGA)
DungeonQuest_v1.0_0663.zip;Dungeon Quest
DungeonsOfAvalon_v1.0_1956.zip;Dungeons Of Avalon
DungeonsOfAvalon2_v1.0_1957.zip;Dungeons Of Avalon II: The Island Of Darkness
Dux_v1.0.zip;Dux
DynaBlaster_v1.1_0664.zip;Dyna Blaster
DynamiteDux_v1.0_1183.zip;Dynamite D
DynastyWars_v1.1_0862.zip;Dynasty Wars
Dyter07_v1.1_0678.zip;Dyter-07
EaglesRider_v1.0.zip;Eagle's Rider
Ebonstar_v1.0_0915.zip;EbonStar
Eco_v1.1_1139.zip;Eco
EcoPhantoms_v1.0_2471.zip;Eco Phantoms
EddTheDuck_v1.1_0650.zip;Edd The Duck!
EddTheDuck2_v1.1.zip;Edd The Duck 2: Back With A Quack!
ElectronicPool_v1.0.lha;Electronic Pool
Elf_v1.0_MicroValue_0863.zip;Elf (MicroValue)
Elfmania_v1.2b_0114.zip;Elfmania
Eliminator_v1.1_0770.zip;Eliminator
Elite_v2.0_1572.zip;Elite
EliteAdvanced_v1.2.zip;Elite Advanced
Elvira_v1.1_0267.zip;Elvira: Mistress Of The Dark
Elvira2_v1.3_2242.zip;Elvira II: The Jaws Of Cerberus
ElviraArcade_v1.3.zip;Elvira: The Arcade Game
Embryo_v1.0_2265.lha;Embryo
EmeraldMine_v1.0_1525.lha;EmeraldMine
EmeraldMine2_v0.91b_1520.lha;Emerald Mine II
EmeraldMine3_v1.1.lha;Emerald Mine 3 Professional
EmlynHughesInternationalSoccer_v1.0_1077.zip;Emlyn Hughes International Soccer
Emmanuelle_v1.1a.zip;Emmanuelle
EMotion_v1.0_0475.zip;E-Motion
EmpireSoccer94_v1.1_0844.zip;Empire Soccer 94
EmpireStrikesBack_v1.2_1235.zip;Empire Strikes Back, The
EnchantedLand_v1.2.zip;Enchanted Land
Encounter_v1.2_0651.zip;Amiga Encounter
EnemyTempestOfViolence_v1.1.zip;Enemy: Tempest Of Violence
Enforcer_v1.1.zip;Enforcer, The (Trojan)
EnglandChampionshipSpecial_v1.1_1671.zip;England Championship Special
Enlightenment_v1.0_1948.zip;Enlightenment: Druid II
Entity_v1.2_1735.zip;Entity
Epic_v1.3_1819.zip;Epic
Epic&MissionDisk_v1.3_1819.zip;Epic Extra Missions
Erik_v1.0.zip;Erik
EscapeFromColditz_v1.0_0214.zip;Escape From Colditz
EscapeFromThePlanetOfTheRobotMonsters_v1.3_0477.zip;Escape From The Planet Of The Robot Monsters
EskimoGames_v1.0_0232.zip;Eskimo Games
EspanaTheGames92_v1.1_1327.zip;Espa
ESWAT_v1.0_2577.zip;ESWAT: Cyber Police
ETsRugbyLeague_v1.0.zip;ET's Rugby League
EuropeanChampions_v1.2_Ocean_2569.zip;European Champions (Ocean)
EuropeanFootballChamp_v1.0_1672.zip;European Football Champ
EuroSoccer_v1.0_2905.zip;Euro Soccer
EvilDawn_v1.0.zip;Evil Dawn
Excalibur_v1.0_2688.zip;Excalibur
Executioner_v1.1.zip;Executioner, The
Exile_v1.3_0032.zip;Exile
Exolon_v1.2_0015.zip;Exolon
Extase_v1.1_2421.zip;Extase
Exterminator_v1.1_1958.zip;Exterminator
Extrial_v1.0.zip;Extrial
Eye_v1.0.zip;Eye
EyeOfHorus_v1.1.zip;Eye Of Horus, The
EyeOfTheBeholder_v1.5_0116.zip;Eye Of The Beholder
EyeOfTheBeholder2_v1.1_0834.zip;Eye Of The Beholder II: The Legend Of Darkmoon
EyeOfTheStorm_v1.0.lha;Eye Of The Storm
F1_v1.3_2422.zip;F1
F15StrikeEagle2_v1.0_0479.zip;F-15 Strike Eagle II
F16CombatPilot_v1.4_1024.zip;F-16 Combat Pilot
F17Challenge_v1.1_1703.zip;F17 Challenge
F19StealthFighter_v2.0_0117.zip;F-19 Stealth Fighter
F1Tornado_v1.0.zip;F1 Tornado
F1WorldChampionshipEdition_v1.0_2061.zip;F1 World Championship Edition
F29Retaliator_v1.1_0022.zip;F29 Retaliator
F40PursuitSimulator_v1.1.zip;F40 Pursuit Simulator
FA18Interceptor_v1.4_0119.zip;F/A-18 Interceptor
FaceOff_v1.0_1670.zip;Face-Off (Krisalis)
FaeryTaleAdventure_v1.0_0367.zip;Faery Tale Adventure, The
Falcon_v1.1_1754.zip;Falcon
Falcon&MissionDisks_v1.1_1754&1205&0269.zip;Falcon & Mission Disks: Operation Counterstrike & Operation Firefight
FantasticDizzy_v1.1_1904.zip;Fantastic Dizzy
FantasticVoyage_v1.0_0326.zip;Fantastic Voyage
FantasticVoyage_v1.0_CDTV.zip;Fantastic Voyage (CDTV)
FantasyFlyer_v1.0.zip;Fantasy Flyer
FantasyFlyer_v1.0_AGA.zip;Fantasy Flyer (AGA)
FantasyWorldDizzy_v1.1_0120.zip;Fantasy World Dizzy
Fascination_v1.1.zip;Fascination
FastBreak_v0.1_Arcadia.zip;Fast Break (Arcadia)
FastFood_v1.00_1947.zip;FastFood
FastLane_v1.0.zip;Fast Lane! The Spice Engineering Challenge
FatalMission_v1.0.zip;Fatal Mission 2
FateGatesOfDawn_v1.0_2842.zip;Fate: Gates Of Dawn
FatmanTheCapedConsumer_v1.1_0943.zip;Fatman: The Caped Consumer
FatmanTheCapedConsumer_v1.1_AGA_0480.zip;Fatman: The Caped Consumer (AGA)
Fears_v4.0.2_CD32.zip;Fears (CD32)
Fears_v3.4_AGA_1288.zip;Fears (AGA)
FederationOfFreeTraders_v1.1.zip;Federation Of Free Traders
FernandezMustDie_v2.1_1980.zip;Fernandez Must Die
Feud_v1.0_0762.zip;Feud
FidelityChessmaster2100_v1.0_1988.zip;Fidelity Chessmaster 2100, The
FiendishFreddysBigTopOFun_v1.1_0500.zip;Fiendish Freddy's Big Top O' Fun
FIFAInternationalSoccer_v1.0_0501.zip;FIFA International Soccer
FighterBomber_v1.1_1135.zip;Fighter Bomber
FighterBomberAdvancedMissions_v1.0.zip;Fighter Bomber: Advanced Missions
FightinSpirit_v1.2_AGA.lha;Fightin' Spirit (AGA)
FightinSpirit_v1.2_CD32.zip;Fightin' Spirit (CD32)
FightinSpirit_v1.2.zip;Fightin' Spirit
FinalAssault_v1.0.zip;Final Assault
FinalBattle_v1.1.zip;Final Battle, The
FinalBlow_v1.0.zip;Final Blow
FinalCountdown_v1.0.zip;Final Countdown
FinalFight_v1.2_1329.zip;Final Fight
Fire&Brimstone_v1.0.zip;Fire And Brimstone
Fire&Forget_v1.0_0924.zip;Fire And Forget
Fire&Forget2_v1.1_0482.zip;Fire And Forget II: The Death Convoy
Fire&Ice_v2.2_0502.zip;Fire & Ice: The Daring Adventures Of Cool Coyote
Fire&Ice_v2.2_CD32.zip;Fire & Ice: The Daring Adventures Of Cool Coyote (CD32)
FireAndBrimstone_v1.2_3012.zip;Fire And Brimstone
Fireblaster_v1.0_1627.zip;Fireblaster
FireForce_v1.1_CD32.zip;Fireforce (CD32)
FireForce_v1.1_0233.zip;Fireforce
Firehawk_v1.0.zip;Firehawk
Firepower_v1.0_0061.zip;Fire Power
Firestar_v1.1.zip;Firestar
FirstContact_v1.0_0923.zip;First Contact
FirstSamurai_v1.6_1182.zip;First Samurai, The
Fish_v1.0_0271.zip;Fish!
FistFighter_v1.0.zip;Fist Fighter
FiveASideSoccer_v1.2.zip;Five-A-Side Soccer
Flaschbier_v1.0.zip;Werner Flaschbier
Flashback_v3.2_1885.lha;Flashback
FlightOfTheAmazonQueen_v1.0_0971.zip;Flight Of The Amazon Queen
FlightOfTheIntruder_v1.0_0245.zip;Flight Of The Intruder
FlightSimulator2_v1.0_0329.lha;Flight Simulator 2
FlightSimulator2&HawaiianSceneryDisk_v1.0_0329.lha;Flight Simulator 2 & Hawaiian Scenery Disk
FlightSimulator2&SceneryDisk07_v1.0_0329.lha;Flight Simulator 2 & Scenery Disk 7
FlightSimulator2&SceneryDisk09_v1.0_0329.lha;Flight Simulator 2 & Scenery Disk 9
FlightSimulator2&SceneryDisk11_v1.0_0329.lha;Flight Simulator 2 & Scenery Disk 11
FlightSimulator2&SceneryDisk12_v1.0_0329.lha;Flight Simulator 2 & Scenery Disk 12
FlightSimulator2&SceneryDisk13_v1.0_0329.lha;Flight Simulator 2 & Scenery Disk 13
FlightSimulator2&SceneryDisk14_v1.0_0329.lha;Flight Simulator 2 & Scenery Disk 14
FlimbosQuest_v1.2_0121.zip;Flimbo's Quest
Flink_v2.4_CD32.zip;Flink (The Misadventures Of) (CD32)
Flintstones_v1.0_0503.zip;Flintstones, The
FlipFlop_v1.0.zip;Flip Flop
Flipit&Magnose_v1.0_0827.zip;Flip-it & Magnose: Water Carriers From Mars
Flood_v1.1_0504.zip;Flood
Floor13_v1.0.zip;Floor 13
FlyFighter_v1.2_1547.zip;Fly Fighter
FlyHarder_v1.1_CD32.zip;Fly Harder (CD32)
FlyHarder_v1.1.zip;Fly Harder
FlyingShark_v1.0.zip;Flying Shark
FoolsErrand_v1.0_1025.zip;Fool's Errand, The
FootballerOfTheYear2_v1.0_0654.zip;Footballer Of The Year 2
FootballGlory_v1.1_AGA_0122.zip;Football Glory (AGA)
FootballGlory_v1.1.zip;Football Glory
FootballManagerWorldCupEdition_v1.0_2272.zip;Football Manager: World Cup Edition
ForgottenMine_v1.0.lha;Forgotten Mine
ForgottenWorlds_v1.0b_1222.zip;Forgotten Worlds
Formula1GrandPrix_v1.0.zip;Formula 1 Grand Prix
FormulaOneGrandPrix_v1.0_4Disk_0325.zip;Formula One Grand Prix (MicroProse) (4 Disk)
FoundationsWaste_v1.1_2759.zip;Foundation's Waste
FourCrystalsOfTrazere_v1.2.zip;Four Crystals Of Trazere, The
Frankenstein_v1.2.zip;Frankenstein
FranticFreddie_v1.0.zip;Frantic Freddie
FreakOut_v1.0.zip;Freak Out
Freedom_v1.0.zip;Freedom: Rebels In The Darkness
Frenetic_v1.1_1438.zip;Frenetic
FrightNight_v1.0.zip;Fright Night
Frontier_v1.2_CD32.zip;Frontier: Elite II (CD32)
Frontier_v1.2_1960.zip;Frontier: Elite II
FrostByte_v0501.1_1529.zip;Frost Byte
FullContact_v1.4_2246.zip;Full Contact
FullMetalPlanete_v1.5_0656.zip;Full Metal Planete
FuryOfTheFurries_v1.0_CD32.zip;Fury Of The Furries (CD32)
FuryOfTheFurries_v1.0_1347.zip;Fury Of The Furries
Fusion_v1.0_0331.zip;Fusion
FutureBasketball_v1.1_1253.zip;Future Basketball
FutureBikeSimulator_v2.0_2149.zip;Future Bike Simulator
FutureClassicsCollection_v1.0.zip;Future Classics Collection
FutureShock_v1.1.zip;Future Shock
FutureTank_v1.0.zip;Future Tank
FutureWars_v4.0_1570.zip;Future Wars: Time Travellers
Fuzzball_v1.0_1940.zip;Fuzzball
Gainforce_v1.0.zip;Gainforce
GalacticConqueror_v1.0.zip;Galactic Conqueror
GalacticEmpire_v1.0_2012.zip;Galactic Empire
GalacticTheXmasEdition_v1.0_1MB.zip;Galactic: The Xmas Edition (1 MB)
GalacticWarriorRats_v1.1_1942.zip;Galactic Warrior Rats
Galaga92_v1.0.zip;Galaga '92
Galaxy89_v1.0.zip;Galaxy 89
GalaxyBlast_v1.1.zip;Galaxy Blast
GalaxyForce2_v1.2_0485.zip;Galaxy Force II
GaldregonsDomain_v1.1.zip;Galdregon's Domain
GameOfHarmony_v1.0.zip;Game Of Harmony, The
GamesSummerEdition_v1.0.zip;Games, The: Summer Edition
GamesWinterEdition_v1.0.zip;Games, The: Winter Edition
Ganymed_v1.1.zip;Ganymed
GarfieldAWintersTail_v1.0.zip;Garfield: Winter's Tail
GarfieldBigFatHairyDeal_v1.0_0933.zip;Garfield: Big, Fat, Hairy Deal
Garrison_v1.0_0800.zip;Garrison
Garrison2_v1.0_0610.zip;Garrison II: The Legend Continues
GaryLinekersHotShot_v1.0_0883.zip;Gary Lineker's Hot-Shot!
GatewayToTheSavageFrontier_v1.0_2160.zip;Gateway To The Savage Frontier
Gauntlet2_v1.2.zip;Gauntlet II
Gauntlet3_v1.2_1550.zip;Gauntlet III: The Final Quest
Gazza2_v1.0.zip;Gazza II
GearWorks_v1.0.zip;Gear Works
GeeBeeAirRally_v1.1.zip;Gee Bee Air Rally
Geisha_v1.3.zip;Geisha
GeminiWing_v1.0_0486.zip;Gemini Wing
GemStoneLegend_v1.0.zip;Gem Stone Legend
GemX_v1.1_1181.zip;Gem'X
Genesia_v1.4_1808.zip;Genesia
GhostBattle_v1.2.zip;Ghost Battle
Ghostbusters2_v1.4_1029.zip;Ghostbusters II
GhoulsNGhosts_v1.0_2252.zip;Ghouls 'N' Ghosts
Giddy2HeroInAnEggShell_v1.0.zip;Giddy II: Hero In An Egg Shell
Giganoid_v1.0.zip;Giganoid
Gladiators_v1.0.lha;Global Gladiators
GlobalGladiators_v1.1_0657.zip;Global Gladiators
GlobalTrek_v1.0.zip;Global Trek
Globdule_v1.1b_0183.zip;Globdule
Globulus_v1.1.zip;Globulus
GLOCR360_v1.2_0184.zip;G-LOC R360 (Loss Of Consciousness)
Gloom_v1.1_CD32.lha;Gloom (CD32)
Gloom_v1.1_AGA_0124.lha;Gloom (AGA)
GNius_v1.1_0895.zip;G.Nius
GnomeAlone_v1.0.zip;Gnome Alone
GnomeRanger_v1.0.zip;Gnome Ranger
Goal_v1.0_1817.zip;Goal!
Gobliiins_v1.2_0065.zip;Gobliiins
Gobliins2_v1.2_0185.zip;Gobliins 2: The Prince Buffoon
Goblins3_v2.0.zip;Goblins 3
Godfather_v1.1a_1331.zip;Godfather, The
Gods_v2.3.1_0666.zip;Gods
GoldenAxe_v1.4_0017.zip;Golden Axe
GoldenEagle_v1.1.zip;Golden Eagle
GoldenPath_v1.1.zip;Golden Path
GoldOfTheAztecs_v1.1_1649.lha;Gold Of The Aztecs, The
Goldrunner_v1.1.zip;Goldrunner
Goldrunner2_v1.0.zip;Goldrunner II
Goldrunner2&SceneryDisks_v1.0.zip;Goldrunner II & Goldrunner II: Scenery Disk 1 & 2
GoldRush_v1.0.zip;Gold Rush!
GoofysRailwayExpress_v1.0_2473.zip;Goofy's Railway Express
GraemeSounessSoccerManager_v1.0.zip;Graeme Souness Soccer Manager
GraemeSounessVectorSoccer_v1.1_1700.zip;Graeme Souness Vector Soccer
GrahamGoochSecondInnings_v1.0.zip;Graham Gooch Second Innings
GrahamGoochWorldClassCricket_v1.0.zip;Graham Gooch World Class Cricket
GrahamGoochWorldClassCricketSpecialEdition_v1.0.zip;Graham Gooch World Class Cricket Test Match Special Edition
GrandMonsterSlam_v1.3.zip;Grand Monster Slam
GrandPrixCircuit_v1.0_0008.zip;Grand Prix Circuit
GrandPrixMaster_v1.0_2216.zip;Grand Prix Master
Gravity_v2.1_0488.zip;Gravity
GravityForce_v1.01.zip;Gravity-Force
GreatCourts_v2.2_2605.zip;Great Courts
GreatCourts2_v1.3_0333.zip;Great Courts 2
GreatGianaSisters_v1.5_2945.lha;Great Giana Sisters, The
Gremlins2_v1.2_0489.zip;Gremlins 2: The New Batch
GridStart_v1.0.zip;Grid Start
Guardian_v1.0_CD32.zip;Guardian (CD32)
GuardianAngel_v1.0_2173.zip;Guardian Angel, The
GuildOfThieves_v1.0_0271.zip;Guild Of Thieves, The
GuldkornExpressen_v1.1_Dk_1MB.zip;Guldkorn Expressen (1 MB) (Dk)
Gunboat_v1.0_2997.zip;Gunboat
Gunship_v1.1_1489.zip;Gunship
Gunship2000_v3.1_CD32.zip;Gunship 2000 (CD32)
Gunship2000_v3.1_AGA_0371.zip;Gunship 2000 (AGA)
Gunship2000_v3.1_0808.zip;Gunship 2000
Gunshoot_v1.1_2169.lha;Gunshoot
GuySpy_v1.0_.zip;Guy Spy And The Crystals Of Armageddon
GuySpy_v1.0_CDTV.zip;Guy Spy And The Crystals Of Armageddon (CDTV)
Hacker_v1.0_0906.zip;Hacker
Hacker2_v1.1_0777.zip;Hacker II: The Doomsday Papers
HagarTheHorrible_v1.0_1967.zip;Hagar The Horrible
HalleyProject_v1.0_2519.zip;Halley Project, The: A Mission In Our Solar System
HammerBoy_v1.1_1349.zip;Hammer Boy
Hammerfist_v1.1.zip;Hammerfist
HaraldHaardtand_v1.1_Dk.zip;Harald H
HardDrivin_v2.04_0126.zip;Hard Drivin'
HardDrivin2_v2.01.zip;Hard Drivin' II: Drive Harder
HardNHeavy_v1.0_1631.zip;Hard 'n' Heavy
Harlequin_v1.3.1_1MB_2029.lha;Harlequin (1MB)
HarleyDavidson_v1.1a_2011.zip;Harley-Davidson: The Road to Sturgis
Harpoon&Battleset1_v1.0.zip;Harpoon & Battleset 1: Greenland Iceland UK Gap (GIUK)
Harpoon&Battleset2_v1.0_1033.zip;Harpoon Battleset 2: North Atlantic Convoys (NACV)
Harpoon&Battleset3_v1.0_1788.zip;Harpoon Battleset 3: The Mediterranean Conflict (MEDC)
Harpoon&Battleset4_v1.0.zip;Harpoon Battleset 4: The Indian Ocean / Persia Gulf (IOPG)
HATE_v1.0_1930.zip;H.A.T.E.: Hostile All Terrain Encounter
Hawkeye_v1.0.zip;Hawkeye
HeadOverHeels_v1.0_1674.zip;Head Over Heels
HeartOfChina_v1.0_0969.zip;Heart Of China
HeartOfTheDragon_v1.1_4Disk_2267.zip;Heart Of The Dragon (4 Disk)
HeavyMetal_v1.0.zip;Heavy Metal
HeavyMetalHeroes_v1.0.zip;Heavy Metal Heroes
Heimdall_v1.0_0234.zip;Heimdall
Heimdall2_v1.6_AGA_1166.zip;Heimdall 2: Into The Hall Of Worlds (AGA)
Heimdall2_v1.6_1165.zip;Heimdall 2: Into The Hall Of Worlds
Heimdall2_v1.6_CD32.zip;Heimdall 2: Into The Hall Of Worlds (CD32)
Hellbent_v1.0_1119.zip;Hell Bent
HellfireAttack_v1.0.zip;Hellfire Attack
Hellraider_v1.0.zip;Hellraider
HellRaisers_v1.0.zip;Hell Raiser
HellrunMachine_v1.0.zip;Hellrun Machine, The
HelterSkelter_v1.3_2071.zip;Helter Skelter
HeroesOfTheLance_v1.0_0778.lha;Heroes Of The Lance
HeroQuest_v1.2_0127.zip;HeroQuest
HeroQuest&ReturnOfTheWitchLord_v1.2_0127&0508.zip;HeroQuest: Return Of The Witch Lord
HeroQuest2_v1.0_1455.zip;HeroQuest II: Legacy Of Sorasil
HerosQuest_v1.2_0795.zip;Hero's Quest: So You Want To Be A Hero
HighSeasTrader_v1.0_AGA_2108.zip;High Seas Trader (AGA)
HighSteel_v1.0_1397.zip;High Steel
HighwayHawks_v1.0_2538.zip;Highway Hawks
HighwayPatrol2_v1.1_2305.zip;Highway Patrol II
Hillsfar_v1.0.zip;Hillsfar
HillStreetBlues_v1.1_0659.zip;Hill Street Blues
Hilt_v1.0.zip;Hilt: Against The Hoardes
Hilt2_v1.0.zip;Hilt II
